"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Red","Blue","Far_Red"
"BNL12054","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","70.1298454659451","20170221",0.861947306400225,0.948632766477236,0.195180017820816
"BNL12055","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","134.62135851158","20170221",0.951990296590129,0.959201111384334,0.281864103338452
"BNL12056","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","164.249693846881","20170221",0.942858720895158,0.958907390883342,0.236594666549461
"BNL12057","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","32.6833501333772","20170221",0.895812345748447,0.957385684969677,0.191291742078063
"BNL12058","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","135.435721155157","20170221",0.928209572043794,0.957526978089043,0.253004150526837
"BNL12059","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","50.3053115881371","20170221",0.789249954709221,0.938802902915953,0.12078440642431
"BNL12060","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","259.826604124629","20170221",NA,NA,NA
"BNL12061","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","82.5860993724269","20170222",0.947605552493862,0.959161934437007,0.277839214985525
"BNL12062","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","106.887150969144","20170221",0.928792990668003,0.958290076510543,0.206449016677585
"BNL12063","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","67.2191080476717","20170221",0.847923976064446,0.947586252332071,0.167290989894002
"BNL12064","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis",NA,"61.8756589472276","20170221",0.8363066912354,0.946352424255451,0.156276493339654
"BNL12065","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea",NA,"209.607095039268","20170221",NA,NA,NA
"BNL12066","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum",NA,"48.0770001107319","20170221",0.77278513239647,0.943245178717167,0.119979373115019
"BNL12067","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea",NA,"46.2943717481549","20170221",0.904745988419284,0.957745790519456,0.199076739908257
"BNL12068","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia",NA,"279.805792460496","20170221",0.957904029499554,0.959364343418653,0.332253109470336
"BNL12069","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis",NA,"69.4644336121237","20170221",0.841404184775099,0.947067085844784,0.157979886954102
"BNL12070","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea",NA,"80.4072898896212","20170221",0.962070145457583,0.95939801972716,0.285861766103763
"BNL12071","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis",NA,"87.3984753784014","20170221",0.886002025863981,0.954472084438287,0.212271865720021
"BNL12072","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis",NA,"190.497219500349","20170221",0.924336831913415,0.958016066573351,0.241108118884576
"BNL12073","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia",NA,"224.202120737866","20170221",0.952869359942216,0.959308634083173,0.306028624683064
"BNL12074","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia",NA,"49.9802249728381","20170221",0.827067281641504,0.947151598633424,0.215990522313756
"BNL12075","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum",NA,"113.421472914196","20170221",0.926640515595577,0.958551767931933,0.208929965471082
"BNL12076","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis",NA,"205.944507394954","20170221",0.932119773382685,0.958369237381812,0.259722639378713
"BNL12077","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum",NA,"160.148373470643","20170221",0.934754148734598,0.958826779242916,0.231304599910058
"BNL12078","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea",NA,"202.151240805974","20170221",NA,NA,NA
"BNL12079","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum",NA,"43.011236468123","20170221",0.678025492426347,0.908241138550253,0.0922946188237351
"BNL12080","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum",NA,"80.1617821513575","20170221",0.886576391024346,0.954841142669421,0.16837813607404
"BNL12081","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea",NA,"26.0598076810195","20170221",0.845882526358025,0.951741032645923,0.140679069933836
"BNL12082","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea",NA,"209.954071058573","20170221",NA,NA,NA
"BNL12083","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia",NA,"156.741132357229","20170221",0.948021229022382,0.959062136586783,0.284643604264913
"BNL12084","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia",NA,"120.842503970378","20170221",0.943157232052284,0.958956094492601,0.27723204422887
"BNL12085","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis",NA,"59.4823736504533","20170221",0.823486825937057,0.943943707358407,0.14424208327866
"BNL12086","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis",NA,"119.543653044277","20170221",0.913207919475218,0.956764313226555,0.234951357736999
"BNL12087","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea",NA,"142.638384286426","20170221",0.956977766950151,0.959337386671413,0.333596760181304
"BNL12088","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis",NA,"127.756798059417","20170221",0.912607914731941,0.955979203375198,0.218506122395729
"BNL12089","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia",NA,"67.901228326473","20170221",0.881867514757858,0.954681940974072,0.225438071225394
"BNL12090","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum",NA,"272.471310353186","20170221",0.955952518937068,0.959298214885983,0.28788980016189
"BNL12091","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia",NA,"108.579692765805","20170221",0.935620347034624,0.958861035949482,0.273030060600833
"BNL12092","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia",NA,"52.8279599000132","20170221",0.796604810473528,0.942336276450228,0.177969418274791
"BNL12093","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea",NA,"53.3154238332856","20170221",0.921610694819014,0.958362817338003,0.22978358312691
"BNL12094","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea",NA,"58.7376340761736","20170221",0.935002804899285,0.958682479227482,0.248112091310907
"BNL12095","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia",NA,"237.639579570103","20170221",0.957717162966758,0.95935518091459,0.332985066944594
"BNL12096","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum",NA,"135.990394220038","20170221",0.9339521587727,0.958440458900778,0.214000647141531
"BNL12097","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis",NA,"171.329441315121","20170221",0.936334992008702,0.9583178123925,0.258334370195328
