"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Leaf_VIS_Spectral_Absorption"
"BNL11814","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","137.464633548108","20170216",0.951672033055626
"BNL11835","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","47.7902070042818","20170216",0.787476081810669
"BNL11836","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","70.328644700324","20170216",0.938181772522442
"BNL11837","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","120.810371064402","20170216",0.928127991578552
"BNL11838","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","117.881268556215","20170216",0.930011230335842
"BNL11839","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","16.7943280449033","20170216",0.827518772577976
"BNL11840","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","24.7303382669655","20170216",0.847921045965355
"BNL11841","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","87.7149442149137","20170216",0.895559153624582
"BNL11842","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","56.798853976224","20170216",0.85860969410009
"BNL11843","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","64.8244604473286","20170216",0.868780734429048
"BNL11844","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","232.404331820108","20170216",0.943813328521776
"BNL11846","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","171.614139108818","20170216",0.95543303475161
"BNL11847","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","178.963102275906","20170216",0.960856511177869
"BNL11851","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","312.560540448298","20170216",0.960571101863932
"BNL11852","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","230.218362957882","20170216",0.96070676083467
"BNL11853","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","66.8476777413797","20170216",0.849736257380491
"BNL11854","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum",NA,"49.5655408323828","20170216",0.804856673034174
"BNL11855","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","38.1386011816877","20170216",0.829315085581291
"BNL11856","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","205.895104668979","20170216",0.952833355459537
"BNL11857","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","237.025088445285","20170216",0.950631122998635
"BNL11858","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","166.462055286462","20170216",0.937947986344534
"BNL11859","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","184.411096768379","20170216",0.936719885516227
"BNL11860","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","87.8697775938826","20170216",0.893645623248717
"BNL11861","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","106.533309915874","20170216",0.930314496344503
"BNL11862","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","44.0657667704334","20170216",0.872522645599144
"BNL11863","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","71.8994548463339","20170216",0.882187794525702
"BNL11864","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","269.940740252195","20170216",0.942732141556174
"BNL11865","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","54.1127689379654","20170216",0.830934066102452
"BNL11866","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","123.467498986537","20170216",0.93552172032739
"BNL11867","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","133.233728534711","20170216",0.941093802471341
"BNL11868","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","127.205730820324","20170216",0.951200371592305
"BNL11869","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","205.019473232372","20170216",0.93886987162676
"BNL11870","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","142.891800377101","20170217",0.941327798314064
"BNL11871","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","138.086262316513","20170217",0.926495210165798
"BNL11872","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","98.4443762764217","20170217",0.863837702444979
"BNL11873","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","109.076757060676","20170217",0.835533095161088
"BNL11874","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","110.813661884546","20170217",0.89711421848386
"BNL11875","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","78.3815101809206","20170217",0.876751587191873
"BNL11876","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","264.389753478787","20170217",0.960625077742161
"BNL11877","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","199.040998947731","20170217",0.924362984764932
"BNL11878","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","379.258104900292","20170217",0.954689883281643
"BNL11879","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","300.362144431588","20170217",0.947095523869658
"BNL11880","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","175.027867098101","20170217",0.944490182709972
"BNL11881","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","55.4943327403173","20170217",0.840023368457409
"BNL11882","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","287.649639906869","20170217",0.942751353698879
"BNL11883","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","244.858018807699","20170217",0.942491669922036
"BNL11884","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","265.126829967823","20170217",0.947339326137677
"BNL11885","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","59.4507276174544","20170217",0.849664309108685
"BNL11886","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","142.692608046707","20170217",0.930352719523603
"BNL11887","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","137.857757039257","20170217",0.93330122725351
"BNL11888","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","61.9622908801418","20170217",0.848775733233207
"BNL11889","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","63.0295351475932","20170217",0.84596487404312
"BNL11890","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","172.878750129642","20170217",0.960703826826213
"BNL11891","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","16.7480495925095","20170217",0.794759708194784
"BNL11892","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","155.210596660794","20170217",0.932833024443531
"BNL11893","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","22.7344335871645","20170217",0.830159072590157
"BNL11894","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","209.476060100564","20170217",0.927780248697928
"BNL11895","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","153.641201869898","20170217",0.92794460653858
"BNL11896","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","113.478215124504","20170217",0.923926547817561
"BNL11897","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","67.0369531595667","20170217",0.936490686923089
"BNL11898","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","45.6612992978589","20170218",0.863100275473055
"BNL11899","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","79.0259824204392","20170218",0.879729458229102
"BNL11900","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","64.721118716224","20170217",0.889274658465161
"BNL12001","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","75.9267042261487","20170218",0.940959561933306
"BNL12002","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","164.72109996524","20170218",0.938081427992385
"BNL12003","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","119.858607421142","20170218",0.937225019731474
"BNL12004","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","203.05771908759","20170218",0.937428393925943
"BNL12005","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","178.825395195378","20170218",0.961006871949862
"BNL12006","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","59.5579325653244","20170218",0.869021011687396
"BNL12007","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","188.984296460674","20170218",0.936958430609496
"BNL12008","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","138.409975525596","20170218",0.91948888760983
"BNL12009","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","312.913577805054","20170218",0.955052533569762
"BNL12010","PA-SLZ","HR-2014i","VOCHFE","Vochysia","ferruginea","sunlit","39.7247779438542","20170218",0.904048117276045
"BNL12011","PA-SLZ","HR-2014i","GUATDU","Guatteria","dumetorum","sunlit","55.5588863942109","20170218",0.848452965361337
"BNL12012","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","86.9516571365397","20170218",0.919889190983635
"BNL12013","PA-SLZ","HR-2014i","TERMAM","Terminalia","amazonia","sunlit","112.630958602982","20170218",0.927534912068871
"BNL12014","PA-SLZ","HR-2014i","MICOBO","Miconia","borealis","sunlit","147.942426021907","20170218",0.926889616220084
