"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Red","Blue","Far_Red"
"BNL12813","FLMM","PSR+3500","BYR-SPI","Byrsonima","spicata","Lower","569.646977650291","20170304",0.912983892347742,0.957884874724991,0.339987331835647
"BNL12814","FLMM","PSR+3500","BYR-SPI","Byrsonima","spicata","Upper","71.4104128837161","20170304",0.894034712723201,0.956472224803581,0.191479591770105
"BNL12815","FLMM","PSR+3500","BYR-SPI","Byrsonima","spicata","Upper","320.058514742102","20170304",0.952890380699134,0.959282889392274,0.305655850782634
"BNL12816","FLMM","PSR+3500","HYM-COU","Hymenaea","courbaril","Upper","50.3514124542142","20170304",0.83021467069836,0.942674657646804,0.127625851101385
"BNL12817","FLMM","PSR+3500","THE-GRA","Thespesia","grandiflora","Lower","144.353110693765","20170304",0.949000544989964,0.959119499872185,0.225802903908333
"BNL12818","FLMM","PSR+3500","THE-GRA","Thespesia","grandiflora","Lower","106.895599446257","20170304",0.934604234673197,0.958508182530535,0.187601381108042
"BNL12819","FLMM","PSR+3500","BAN-VAN","Banara","vanderbiltii","Upper","141.954233157413","20170304",0.907227446151115,0.956762960506538,0.200381044886607
"BNL12820","FLMM","PSR+3500","BAN-VAN","Banara","vanderbiltii","Upper","138.274871229446","20170304",0.863289559516137,0.951850514826906,0.156966318720879
"BNL12821","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Lower","64.6211895307554","20170304",0.879593185297593,0.954010569134189,0.198031349802697
"BNL12822","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Lower","286.773586923889","20170304",0.920204598423482,0.957435299616076,0.2487429878845
"BNL12823","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Lower","662.400194087197","20170304",0.876631430423057,0.955632436515351,0.376444747768542
"BNL12824","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Upper","34.7707275378001","20170304",0.842117768477452,0.948515086094414,0.127329668809878
"BNL12825","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Upper","88.9240339131891","20170304",0.927497277058052,0.958201987175246,0.212628191205443
"BNL12826","FLMM","PSR+3500","HIE-CLU","Hieronyma","clusioides","Upper","460.526865163613","20170304",0.910995702087855,0.95719807161326,0.312467734660847
"BNL12827","FLMM","PSR+3500","BAN-VAN","Banara","vanderbiltii","Lower","139.304615302958","20170304",0.924783042769926,0.957738731034888,0.192764391436302
"BNL12828","FLMM","PSR+3500","BAN-VAN","Banara","vanderbiltii","Lower","173.731698032934","20170304",0.939583791710846,0.95862115928064,0.214759199404543
"BNL12829","FLMM","PSR+3500","GOE-ELE","Goetzea","elegans","Upper","40.1522087486067","20170304",0.834244518103889,0.951413778407574,0.150096843503234
"BNL12830","FLMM","PSR+3500","GOE-ELE","Goetzea","elegans","Upper","112.466821882322","20170304",0.940950658346367,0.958974525462733,0.260878817857102
"BNL12831","FLMM","PSR+3500","GOE-ELE","Goetzea","elegans","Upper","174.627120300831","20170304",0.945890621974992,0.959009009972825,0.28392125925674
"BNL12832","FLMM","PSR+3500","COR-OBO","Cornutia","obovata","Upper","44.018552942744","20170304",0.936207763090692,0.95836240629923,0.303655413477021
"BNL12833","FLMM","PSR+3500","ACR-MED","Acrocomia","media","Upper","97.8210921353193","20170304",0.908275982691086,0.957522244203729,0.207726483716066
"BNL12835","CAM II","PSR+3500","COC-DIV","Coccoloba","diversifolia","Mid","189.271578396403","20170304",0.946659769180639,0.958937076721631,0.232252726453521
"BNL12836","CAM II","PSR+3500","COC-DIV","Coccoloba","diversifolia","Mid","305.92204883956","20170304",0.950164174449788,0.959125494555018,0.274010129900438
"BNL12837","CAM II","PSR+3500","SID-SAL","Sideroxylon","salicifolium (L.) Lam.","Mid","563.080451021355","20170304",0.885830494704321,0.955798724648393,0.342196526598409
"BNL12838","CAM II","PSR+3500","SID-SAL","Sideroxylon","salicifolium (L.) Lam.","Mid","468.884238064387","20170304",0.958166568487237,0.959397664539399,0.330594469149848
"BNL12839","CAM II","PSR+3500","COC-DIV","Coccoloba","diversifolia","Upper","276.521680677181","20170304",0.945032513906438,0.958949665630414,0.25865988841554
"BNL12840","CAM II","PSR+3500","SID-SAC","Sideroxylon","salicifolium (L.) Lam.","Mid","368.113064147885","20170304",0.947154302092462,0.95906155217057,0.291846706262935
"BNL12841","CAM II","HR-1024i","GYM-LUC","Gymnanthes","lucida Sw.","Upper","237.900006403766","20170304",0.955963831962609,0.959257215617015,0.317600364992824
"BNL12842","CAM II","HR-1024i","SID-SAL","Sideroxylon","salicifolium (L.) Lam.","Upper","380.531250528256","20170304",0.930206246922084,0.958427056058212,0.301788298735705
"BNL12844","CAM II","HR-1024i","COC-DIV","Coccoloba","diversifolia","Upper","260.425906873648","20170304",0.951202933573828,0.959081409795189,0.256789875901695
"BNL12845","CAM II","HR-1024i","COC-DIV","Coccoloba","diversifolia","Mid","238.467801766666","20170304",0.948552580403791,0.959115717429249,0.244752342453259
"BNL12846","CAM II","HR-1024i","CLU-ROS","Clusia","rosea Jacq.","Mid","17.0364636409957","20170304",0.954236549900048,0.959221155240193,0.36709893017909
"BNL12847","CAM II","HR-1024i","CLU-ROS","Clusia","rosea Jacq.","Mid","65.7638998777632","20170304",0.958918312555588,0.959324033558671,0.428835556822592
