"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","N.mu","N.q25","N.q975","Cab.mu","Cab.q25","Cab.q975","Car.mu","Car.q25","Car.q975","Canth.mu","Canth.q25","Canth.q975","Cbrown.mu","Cbrown.q25","Cbrown.q975","Cw.mu","Cw.q25","Cw.q975","Cm.mu","Cm.q25","Cm.q975"
"BNL12801","FLMM","HR-1024i","BAS-EGG","Bastardiopsis","eggersii","Upper","153.658795061973","20170303",1.37191369822422,1.37077541522353,1.37510741822848,45.5402211440306,45.3146297360418,46.2295616071879,11.9109749212908,11.6029670821482,12.7914571681397,2.42768171222856,2.32629897103553,2.72927907469791,0.00398280146083942,0.00283891368382706,0.00723633346435694,0.00572365840348899,0.00570912722498125,0.00576167829265621,0.00226905006080573,0.00223867816218263,0.00235206774568879
"BNL12802","FLMM","HR-1024i","COR-OBO","Cornutia","obovata","Lower","101.136669354988","20170303",1.37951002398765,1.3774888716803,1.38544887422152,44.7273955653704,44.4982565635058,45.3981950488025,13.4623179936825,13.1682106261624,14.3593431302865,2.14174213405474,2.04779835855042,2.43386526152547,0.00646018519432768,0.00453646464954868,0.0124841369413837,0.0178880085643072,0.0178509850835891,0.0180028700227173,0.00231121206168898,0.00222933226681422,0.00253732592050341
"BNL12803","FLMM","HR-1024i","COR-OBO","Cornutia","obovata","Lower","99.233971943313","20170303",2.29797250520896,2.28907052803626,2.32253274793395,71.0223882867103,70.6043104910573,72.2098558710332,21.4746287988821,20.7384154369203,23.4290014164805,6.1195726617664,5.91450694678719,6.73343838496371,0.022962726378595,0.0179907461311036,0.0378544748151173,0.0351295122678166,0.0350509696520101,0.0353697676208182,0.00918354343529512,0.00897306617181104,0.0097512674715349
"BNL12804","FLMM","HR-1024i","PHL-COW","Phlebotaenia","(Polygala) cowellii","Lower","124.077541730522","20170303",1.56459647157144,1.56254521870693,1.57064215900507,54.4866665675646,54.1308075293876,55.4984882608257,16.5427466118409,15.7145477563033,18.9654270158957,6.97675258739369,6.72472209432833,7.71417414253679,0.00246065437411852,0.00169986060571695,0.00465050556643655,0.0121909875922235,0.0121592210331103,0.0122794434004276,0.0046752810419287,0.004605324685082,0.00486866414336468
"BNL12805","FLMM","HR-1024i","HYM-COU","Hymenaea","courbaril","Lower","131.956742758025","20170303",1.21723664582077,1.21574579124821,1.22168937717351,55.1299293621137,54.7502202105124,56.1828739936251,15.6744607455004,14.7899213367085,18.3131931805752,4.71622501799486,4.46524899749263,5.42051447121587,0.00158811929052601,0.00112154536960016,0.00307734127689881,0.0106190524504488,0.0105907811287248,0.0107035266773429,0.00363240773997392,0.00356883158331873,0.00380271249197788
"BNL12806","FLMM","HR-1024i","PHL-COW","Phlebotaenia","(Polygala) cowellii","Upper","183.021394044574","20170303",1.73349975071815,1.72892657046835,1.74765448290881,77.9922123451345,77.3421431736388,79.8749709823144,24.8356057941367,22.4773624749016,38.3742379217669,54.9150396258696,13.8721002024475,271.988950703806,0.00472275711153998,0.0032784113098493,0.00956490895912606,0.020852511086925,0.0207932408258598,0.0210194387455888,0.0107338735137876,0.0105793116858071,0.0112031349435815
"BNL12813","FLMM","PSR+3500","BYR-SPI","Byrsonima","spicata","Lower","755.749429795659","20170304",1.44395299756642,1.44079447034423,1.4529223163631,31.2890879272443,30.3451505688021,33.9043253979866,5.56428046988507,3.95468361140065,10.3805089469839,4.017879117579,3.45201781993987,5.66796402794265,1.40246423732633,1.38392923438513,1.45861897941058,0.00517073290685416,0.00513637016405754,0.00526685366283524,0.00299548751625701,0.00292754186850512,0.00318244205236397
"BNL12814","FLMM","PSR+3500","BYR-SPI","Byrsonima","spicata","Upper","63.3588210193536","20170304",2.19998792426435,2.19021833266931,2.22551832177545,47.1440159525483,46.6961228930936,48.4085410119573,17.4208187097627,16.7255582563836,19.4000270528052,2.59993663958987,2.41006825108727,3.14084959515451,0.0048404650891773,0.00329334484622032,0.00971136641895326,0.0168220203979799,0.0167439936193285,0.0170413208937053,0.00850731400357785,0.00829891833290774,0.00909472644704273
"BNL12815","FLMM","PSR+3500","BYR-SPI","Byrsonima","spicata","Upper","386.369045292005","20170304",2.26844462184612,2.25900625184964,2.2971467309545,79.9774395080295,78.8761347055983,83.0775972712202,21.1952007688661,18.7518878491018,28.1367097760977,7.15760254737954,6.52832050431969,9.06064947479089,0.377004372939317,0.364259232298271,0.414628871226593,0.0155242280143893,0.0154493203881127,0.0157422392937926,0.0109008524567286,0.0106846852711601,0.011488504705735
"BNL12816","FLMM","PSR+3500","HYM-COU","Hymenaea","courbaril","Upper","32.3769603792364","20170304",1.55663032382841,1.55272095745469,1.56853964988124,30.7086094921839,30.5123235300947,31.3111103215426,9.14267966735773,8.93164816009119,9.75489166250474,0.920946476670504,0.841381497480933,1.17683673607011,0.00277693862408315,0.0019152482574236,0.00537045415948506,0.0176216855124238,0.0175623231686854,0.0177878582884653,0.00193604723208485,0.00181136161932245,0.00231471079351147
"BNL12817","FLMM","PSR+3500","THE-GRA","Thespesia","grandiflora","Lower","135.830454794101","20170304",1.85460717190606,1.84988710808455,1.86846000390305,76.4272668477227,75.6794213780349,78.5848540976566,18.9826482825383,17.1308286415807,24.8727475494946,7.41453944270967,6.87156888975869,9.04756870640987,0.0077048854015466,0.00534808473023766,0.0154596396992046,0.0161116048106985,0.0160481573847401,0.0162761023296871,0.00156217188111132,0.00144993294626021,0.00189677910123015
