"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","N.mu","N.q25","N.q975","Cab.mu","Cab.q25","Cab.q975","Car.mu","Car.q25","Car.q975","Cbrown.mu","Cbrown.q25","Cbrown.q975","Canth.mu","Canth.q25","Canth.q975","Cw.mu","Cw.q25","Cw.q975","Cm.mu","Cm.q25","Cm.q975"
"BNL10991","PA-PNM","SE_PSRPlus","ANACEX","Anacardium","excelsum","sunlit","121.748950110896","20160314",1.61430005675084,1.60981481880826,1.62805006199105,53.0462127122551,52.5281970594973,54.5999056618927,15.0139285123655,14.2019511490925,17.3546633011374,0.001786023840256,0.00050814050489538,0.00619347230864445,2.55811869192476,2.33440228640803,3.21938194711167,0.016705229576665,0.0166384452575676,0.0168960668567704,0.00337208421956073,0.00322302485187785,0.00379814709172585
"BNL10401","PA-PNM","SVC_HR-1024i","ALBIAD","Albizia","adinocephala","sunlit","80.4439434395519","20160213",2.10730925061476,2.10194251905696,2.12248329580008,43.5927447439787,43.2912623715845,44.5082865256075,16.3319086086386,15.9449018239036,17.4826655911806,0.000399605860292868,0.000108286344590528,0.00160330797622988,1.3954222890175,1.28509778058666,1.72608186650322,0.0129662983862738,0.0129168174779634,0.0130945571348443,0.0105827358240266,0.0104574281518953,0.010944383696136
"BNL11004","PA-PNM","SE_PSRPlus","ANTITR","Pittoniotis","trichantha","sunlit","175.026670948942","20160314",1.49646601180135,1.49275918701543,1.50679178135924,25.0164757356695,24.7467435719866,25.8580742698696,7.28906747362168,6.93134536947345,8.31947331341629,0.0669636342700033,0.0589873205417182,0.0904921032936359,2.73863664406197,2.62407481633184,3.08301348461487,0.00806354235136414,0.00802119322466272,0.00819045024949813,0.00452537433213426,0.00443214920336009,0.00479072061964022
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
