Sample_ID,Date,Location,Species_Code,Latin_genus,Latin_species,Genus_species,Gasex_typeOrSequence,TleafDegC_canopy,TleafDegCpreSpec,TleafDegCpostSpec,Photo_num,Canopy_position,General_Comments
BNL10417,2/13/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 1,24.7,30.2,31.7,Nikon; 622,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10404,2/13/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 1,24.5,,33.4,Nikon; 626,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10402,2/13/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 1,24.6,,32.8,Nikon; 633,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10610,2/13/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 2,34.9,,,Nikon; 659,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10613,2/13/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 2,34.8,,34.8,Nikon; 647,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10669,2/13/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 3,32.1,,,Nikon; 679,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10673,2/13/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 3,35,,,Nikon; 677,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10621,2/13/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 4,30,,,Nikon; 696,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10604,2/13/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 4,31.3,,,Nikon; 703,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10453,2/13/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Pre-dawn LWP,23.6,,27,,sunlit,
BNL10454,2/13/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Pre-dawn LWP,23.4,,27.3,,sunlit,
BNL10455,2/13/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Pre-dawn LWP,23.2,,27.8,,sunlit,
BNL10554,2/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,ACi,,31.4,32.1,"Nikon, 898",sunlit,
BNL11063,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 1,23.9,25.2,27.2,IMG_0637,sunlit,"sanded spec ref, prev samples measured prior to sanding"
BNL11114,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 1,23.1,26.6,29,IMG_0638,sunlit,
BNL11062,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 2,29.1,35.4,37.4,IMG_0670,sunlit,
BNL11118,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 2,28.6,35.1,37.9,IMG_0674,sunlit,KE: corrected spec file name from 1118 to 11118
BNL11076,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 3,none,33.8,34.3,IMG_0692,sunlit,thermocouple broke
BNL11078,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 3,32.2,34.6,34.7,IMG_0693,sunlit,
BNL11065,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 4,37,29.7,33.6,IMG_0709,sunlit,
BNL11359,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 4,36.6,32.5,33.6,IMG_0702,sunlit,
BNL11466,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 5,36.6,30.2,31,IMG_0718,sunlit,
BNL11486,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 5,37.4,27.6,31.7,IMG_0720,sunlit,
BNL11354,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 6,30.4,25.3,27.4,IMG_0832,sunlit,
BNL11480,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 6,31.2,25.2,29.1,IMG_0759,sunlit,T=31.2; no NSC sample
BNL11276,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Pre-dawn LWP,21.7,24.2,25.5,IMG_0621,sunlit,
BNL11279,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Pre-dawn LWP,22.2,24.9,25.6,IMG_0624,sunlit,
BNL11367,3/14/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Pre-dawn LWP,21.8,23,27.1,IMG_0620,sunlit,
BNL11380,3/15/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,ACi,NA,31,34.2,IMG_0836,sunlit,
BNL11397,3/15/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,ACi,NA,31,31.5,IMG_0834,sunlit,
BNL11506,3/15/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,ACi,NA,30.9,33,IMG_0847,sunlit,
BNL11508,3/15/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,ACi,NA,31.6,none,IMG_0835,sunlit,no post-spec temp recorded
BNL11918,4/25/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 1,26,26,28.5,08.07.55,sunlit,
BNL11917,4/25/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 1,25.8,27.2,29.4,08.04.04,sunlit,
BNL11933,4/25/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 2,26.6,29.3,29.7,09.19.25,sunlit,
BNL11934,4/25/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 2,26.2,28.5,32.5,10.01.38,sunlit,
BNL11966,4/25/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 3,27.6,30.3,33,110724,sunlit,
BNL11967,4/25/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 3,27.7,30.3,31,112607,sunlit,
BNL11907,4/25/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Pre-dawn LWP,26.3,25.6,26.1,07.06.16,sunlit,
BNL11908,4/25/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Pre-dawn LWP,26.3,25.4,27.2,07.14.51,sunlit,
BNL11596,4/26/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,ACi,,29.6,30.4,IMG_1998,understory,
BNL11821,4/26/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,ACi,,29.4,31.3,IMG_2003,understory,
BNL11982,4/26/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 5,29.7,,,,sunlit,
BNL11983,4/26/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 5,29.5,,,,sunlit,
BNL11994,4/26/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 6,28.1,,,,sunlit,
BNL11995,4/26/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 6,26.7,,,,sunlit,
BNL11559,4/26/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 7,28.3,,,,sunlit,
BNL11560,4/26/16,PA-PNM,CAL2CA,Calycophyllum,candidissimum,Calycophyllum candidissimum ,Diurnal 7,28.4,,,,sunlit,
BNL11820,4/26/16,PA-PNM,CAPI,Capparis,indica,Capparis indica ,ACi,,29.9,32.9,09.53.03; 09.53.07,understory,
BNL11823,4/26/16,PA-PNM,CAPI,Capparis,indica,Capparis indica ,ACi,,32.1,33.9,?Shawn's phone,understory,
BNL11845,4/26/16,PA-PNM,CAPI,Capparis,indica,Capparis indica ,ACi,,29.1,31.2,IMG_1997,understory,
BNL10578,2/16/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Pre-dawn LWP,25,24.6,25.5,1616,sunlit,
BNL10579,2/16/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Pre-dawn LWP,25.2,24.9,25.4,1617,sunlit,
BNL10580,2/16/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Pre-dawn LWP,25.3,24.8,25.5,1618,sunlit,
BNL10702,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,ACi,,27.5,29.7,DSCN1745,sunlit,
BNL10788,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,ACi,,29.6,29.7,DSCN1762,sunlit,
BNL10807,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,ACi,,28.1,29.3,P1130001,sunlit,
BNL10629,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 1,25.8,26.2,26.4,DSCN1708,sunlit,
BNL10630,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 1,25.7,27.4,27.6,DSCN1715,sunlit,
BNL10737,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 2,27.2,28.2,28.9,DSCN1728,sunlit,
BNL10738,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 2,26.9,27.2,30,DSCN1737,sunlit,
BNL10707,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 3,27.6,29.4,32,DSCN1765,sunlit,
BNL10728,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 3,28.2,28.3,30.7,DSCN1753,sunlit,
BNL10726,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 4,28.6,28.4,32.9,Nikon; 1025,sunlit,
BNL10725,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 4,31.2,30.4,32.4,Nikon; 1026,sunlit,
BNL10824,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 5,30.2,27.4,30.7,Nikon 1069,sunlit,
BNL10825,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 5,29.9,26.8,29.5,,sunlit,
BNL10809,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 6,27.7,26.9,29.4,Nikon 1071,sunlit,
BNL10804,2/17/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 6,26.8,27,28.6,Nikon 1077,sunlit,
BNL11173,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,ACi,NA,29.4,33.2,IMG_0413,sunlit,"11173b, run on full scrub dessicant. KE corrected spec file name. ACi curve rubbish data. Not included in compilation. Mild singe of sample packet"
BNL10960,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 1,26.3,30.6,33.1,IMG_0350,sunlit,changed spec batteries b/w 003 & 004
BNL11030,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 1,26.2,30.6,33,IMG_0359,sunlit,
BNL10941,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 2,29.4,31.5,33.6,IMG_0371,sunlit,
BNL11000,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 2,29.2,31.4,32.3,IMG_0362,sunlit,
BNL10930,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 3,34.7,31.8,32.6,IMG_0380,sunlit,
BNL10922,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 3,33.5,31.9,32.7,IMG_0386,sunlit,
BNL10899,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 4,30,29.3,32.1,IMG_0408,sunlit,
BNL10903,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 4,32.6,29.3,30.2,IMG_0410,sunlit,discard scan 000
BNL10920,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 5,29.3,26.7,28.7,IMG_0422,sunlit,
BNL11047,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 5,24.2,27.3,30.3,IMG_0426,sunlit,
BNL10914,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 6,27.2,27.1,28.6,IMG_0448,sunlit,
BNL10923,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 6,27.2,26.8,26.8,IMG_0449,sunlit,
BNL11019,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Pre-dawn LWP,25.2,26.7,28.5,IMG_0318,sunlit,
BNL11025,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Pre-dawn LWP,25,27,28.1,IMG_0317,sunlit,discard 1st spec ref scan
BNL11123,3/10/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Pre-dawn LWP,24.9,25.6,27.3,IMG_0314,sunlit,
BNL10880,3/11/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,ACi,NA,32.2,34.1,IMG_0502,sunlit,
BNL10928,3/11/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,ACi,NA,31.4,35.1,IMG_0501,sunlit,
BNL11138,3/11/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,ACi,NA,32.1,32.1,IMG_0505,sunlit,
BNL11709,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 1,26.1,28.4,29.3,09.07.39,sunlit,
BNL11710,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 1,26.8,28.6,31.2,IMG_1875,sunlit,
BNL11745,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 2,27.9,32.4,33.8,IMG_1905,sunlit,
BNL11746,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 2,32.9,30.7,33.3,IMG_1903,sunlit,
BNL11545,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 3,29.7,31,31.3,KE_P1130105,sunlit,
BNL11546,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 3,29.8,31.5,32,IMG_1911; IMG_1912; IMG_1914,sunlit,
BNL11721,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 4,29.9,28.4,29.5,KE_P1130119,sunlit,
BNL11722,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 4,31.1,28,30,KE_P1130122,sunlit,
BNL11791,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 5,29.9,27.5,30.5,KE_P1130142,sunlit,
BNL11792,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 5,31.1,28,30.3,KE_P1130149,sunlit,
BNL11533,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 6,28.6,27.8,30.4,KE_P1130151,sunlit,
BNL11514,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 6,27.9,27.9,31.7,KE_P1130152,sunlit,
BNL11617,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 7,26.9,26.6,28.5,KE_P1130177,sunlit,
BNL11618,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 7,27.1,26.8,29.1,KE_P1130182,sunlit,
BNL11623,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 8,28.2,25.6,31.7,KE_P1130197,sunlit,
BNL11624,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Diurnal 8,27.8,26.6,28,KE_P1130199,sunlit,
BNL11523,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Pre-dawn LWP,25.8,27.4,28.9,08.08.49,sunlit,
BNL12208,4/21/16,PA-SLZ,CARAGU,Carapa,guianensis,Carapa guianensis ,Pre-dawn LWP,25.7,27,29.3,07.43.09,sunlit,
BNL10411,2/13/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 1,24.1,31.6,33.4,Nikon; 636,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10413,2/13/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 1,23.5,31.8,32.5,Nikon; 637,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10405,2/13/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 1,-9999,32.3,,Nikon; 631,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10406,2/13/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 2,30.4,32.2,,Nikon; 646,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10407,2/13/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 2,30.6,,,Nikon; 663,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10666,2/13/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 3,32.6,30,,Nikon; 674,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10682,2/13/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 3,31.4,,,Nikon; 678,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10619,2/13/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 4,31.3,,,Nikon; 698,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10622,2/13/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 4,32.8,,,Nikon; 712,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10433,2/13/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Pre-dawn LWP,23.3,,24.1,,sunlit,
BNL10434,2/13/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Pre-dawn LWP,24.3,,24,,sunlit,
BNL10435,2/13/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Pre-dawn LWP,23.5,,24.5,,sunlit,
BNL10556,2/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,ACi,,,31.8,"Nikon, 893",sunlit,
BNL11448,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,ACi,NA,29.3,29.4,IMG_0644,sunlit,
BNL11316,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,ACi,NA,25.5,27,IMG_0636,sunlit,
BNL11451,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,ACi,NA,24.8,25.2,IMG_0634,sunlit,
BNL11106,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 1,23,29.6,none,IMG_0643,sunlit,no post-spec temp recorded
BNL11087,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 1,22.6,28.7,29.4,IMG_0641,sunlit,
BNL11099,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 2,29.1,32.1,37.5,IMG_0667,sunlit,
BNL11298,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 2,30,33.3,37.6,IMG_0665,sunlit,
BNL11168,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 3,32.7,32.1,34.8,IMG_0689,sunlit,
BNL11185,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 3,34.4,32.5,34.4,IMG_0691,sunlit,
BNL11073,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 4,36.3,30.9,32.1,IMG_0697,sunlit,
BNL11066,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 4,36.5,31.6,32.6,IMG_0708,sunlit,
BNL11431,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 5,37.3,28,29,IMG_0726,sunlit,
BNL11432,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 5,39.3,28.2,30,IMG_0713,sunlit,
BNL11491,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 6,33,25,25.5,IMG_0831,sunlit,
BNL11301,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Diurnal 6,33.6,25.3,27,IMG_0760,sunlit,
BNL11325,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Pre-dawn LWP,22.7,24.4,26.9,IMG_0632,sunlit,
BNL11370,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Pre-dawn LWP,23.2,25.6,25.6,IMG_0635,sunlit,
BNL11371,3/14/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Pre-dawn LWP,22.3,24.1,25.3,IMG_0633,sunlit,
BNL11595,4/25/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,ACi,,29.7,30.8,IMG_1973,understory,
BNL11657,4/25/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,ACi,,32.2,32.8,IMG_1972,understory,
BNL11733,4/25/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Pre-dawn LWP,24.6,25.1,27.5,06.28.59,sunlit,
BNL11734,4/25/16,PA-PNM,CASTEL,Castilla,elastica,Castilla elastica ,Pre-dawn LWP,24.9,25.9,27.4,06.34.08,sunlit,
BNL11541,4/22/16,PA-SLZ,CECRIN,Cecropia,insignis,Cecropia insignis ,ACi,,29.1,29.9,,sunlit,
BNL11542,4/22/16,PA-SLZ,CECRIN,Cecropia,insignis,Cecropia insignis ,ACi,,29.6,30.4,,sunlit,
BNL11637,4/22/16,PA-SLZ,CECRIN,Cecropia,insignis,Cecropia insignis ,ACi,,29.2,30.7,,sunlit,
BNL10536,2/14/16,PA-PNM,CECRPE,Cecropia,peltata,Cecropia peltata ,ACi,,31.6,33,"Nikon, 906",sunlit,
BNL10537,2/14/16,PA-PNM,CECRPE,Cecropia,peltata,Cecropia peltata ,ACi,,31.3,31.1,"Nikon, 907",sunlit,
BNL10539,2/14/16,PA-PNM,CECRPE,Cecropia,peltata,Cecropia peltata ,ACi,,30,,"Nikon, 912",sunlit,
BNL10661,2/14/16,PA-PNM,CECRPE,Cecropia,peltata,Cecropia peltata ,ACi,,28.5,30.6,"Nikon, 916",sunlit,
BNL10420,2/13/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Diurnal 1,24.3,29.1,29.3,Nikon; 620,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10419,2/13/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Diurnal 1,24.7,31.3,32,Nikon; 635,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10418,2/13/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Diurnal 1,23.8,32,33,Nikon; 630,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10616,2/13/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Diurnal 2,30.7,,,Nikon; 650,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10617,2/13/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Diurnal 2,31.4,,,Nikon; 660,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10668,2/13/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Diurnal 3,-9999,,,Nikon; 690,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10677,2/13/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Diurnal 3,32.4,,,Nikon; 693,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10678,2/13/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Diurnal 3,34.9,,,Nikon; 688,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10607,2/13/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Diurnal 4,29.1,,,Nikon; 708,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10608,2/13/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Diurnal 4,30,,,Nikon; 715,sunlit,leaf temperatures before and after spectra reading may be missing or inaccurate
BNL10450,2/13/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Pre-dawn LWP,25.3,,25.7,,sunlit,
BNL10451,2/13/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Pre-dawn LWP,23.4,,26.2,,sunlit,
BNL10452,2/13/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Pre-dawn LWP,24.5,,26.5,,sunlit,
BNL10542,2/14/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,ACi,,30.2,30.8,"Nikon, 914",sunlit,
BNL10549,2/14/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,ACi,,30.5,31.1,"Nikon, 891",sunlit,
BNL10557,2/14/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,ACi,,30.7,31.3,"Nikon, 889",sunlit,
BNL10561,2/14/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,ACi,,30.8,31.4,"Nikon, 890",sunlit,
BNL11110,3/14/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Diurnal 1,23.2,30,30.8,IMG_0645,sunlit,
BNL11092,3/14/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Diurnal 1,22.7,29,30.1,IMG_0642,sunlit,
BNL11101,3/14/16,PA-PNM,CORDAL,Cordia,alliodora,Cordia alliodora ,Diurnal 2,27,34,36.9,IMG_0666,sunlit,
