Sample_ID,Duplicate_flag,Chem_type,H20_pc,LMA_gDW_m2,SLA_cm2_gDW
BNL10848,2,NSC,,107.37,93.13
BNL10849,2,NSC,,106.38,94
BNL10850,2,NSC,,164.39,60.83
BNL10851,2,NSC,,117.04,85.44
BNL10852,2,NSC,,102.99,97.1
BNL10853,2,NSC,,194.67,51.37
BNL10854,2,NSC,,112,89.28
BNL10855,2,NSC,,156.78,63.79
BNL10856,2,NSC,,123.91,80.71
BNL10857,2,NSC,,116.8,85.62
BNL10858,2,NSC,,98.09,101.95
BNL10859,2,NSC,,100.37,99.63
BNL10860,2,NSC,,111.57,89.63
BNL10861,2,NSC,,85.83,116.51
BNL10862,2,NSC,,114.27,87.51
BNL10863,2,NSC,,138.89,72
BNL10864,2,NSC,,163.55,61.15
BNL10865,2,NSC,,136.08,73.49
BNL10866,2,NSC,,119.02,84.02
BNL10867,2,NSC,,120.42,83.04
BNL10868,2,NSC,,79.6,125.63
BNL10873,2,NSC,,122.56,81.59
BNL11183,2,NSC,,73.16,136.68
BNL11187,2,NSC,,114.49,87.34
BNL10999,2,NSC,,95.79,104.39
BNL11013,2,NSC,,165.17,60.54
BNL11018,2,NSC,,146.51,68.26
BNL11044,2,NSC,,113.87,87.82
BNL11125,2,NSC,,116.93,85.52
BNL11153,2,NSC,,172.47,57.98
BNL11155,2,NSC,,140.1,71.38
BNL11161,2,NSC,,97.36,102.72
BNL11170,2,NSC,,189.72,52.71
BNL11174,2,NSC,,107.19,93.3
BNL11188,2,NSC,,128.41,77.88
BNL11126,2,NSC,,148.6,67.3
BNL11127,2,NSC,,105.24,95.02
BNL11128,2,NSC,,153.55,65.13
BNL11129,2,NSC,,129.61,77.15
BNL11130,2,NSC,,124.82,80.12
BNL11131,2,NSC,,75.26,132.87
BNL11158,2,NSC,,144,69.45
BNL11159,2,NSC,,168.11,59.49
BNL11160,2,NSC,,207.83,48.12
BNL11163,2,NSC,,111.34,89.82
BNL11164,2,NSC,,108.9,91.83
BNL11189,2,NSC,,172.58,57.94
BNL11191,2,NSC,,110.66,90.37
BNL11192,2,NSC,,84.62,118.17
BNL11196,2,NSC,,89.16,112.16
BNL11197,2,NSC,,117.47,85.13
BNL11198,2,NSC,,86.8,115.2
BNL11045,2,NSC,,99.39,100.61
BNL11049,2,NSC,,95.48,104.73
BNL11050,2,NSC,,96.26,103.88
BNL11052,2,NSC,,123.26,81.13
BNL11058,2,NSC,,132.54,75.45
BNL11060,2,NSC,,107.34,93.16
BNL11067,2,NSC,,102.66,97.41
BNL11068,2,NSC,,100.33,99.67
BNL11069,2,NSC,,103.19,96.91
BNL11132,2,NSC,,153.96,64.95
BNL11165,2,NSC,,148.53,67.33
BNL11175,2,NSC,,132.18,75.65
BNL11176,2,NSC,,140.75,71.05
BNL11177,2,NSC,,165.76,60.33
BNL11179,2,NSC,,105.05,95.19
BNL11180,2,NSC,,170.25,58.74
BNL11181,2,NSC,,163.26,61.25
BNL11200,2,NSC,,111.5,89.68
BNL10993,1,NSC,,59.03,169.42
BNL11312,1,NSC,,99.32,100.69
BNL11319,1,NSC,,105.13,95.12
BNL11323,1,NSC,,157.27,63.59
BNL11329,1,NSC,,104.21,95.96
BNL11344,1,NSC,,90.14,110.93
BNL11349,1,NSC,,104.64,95.57
BNL11352,1,NSC,,86.48,115.63
BNL11365,1,NSC,,60.77,164.54
BNL11388,1,NSC,,151.78,65.89
BNL11420,1,NSC,,78.26,127.77
BNL11433,1,NSC,,71.1,140.65
BNL11498,1,NSC,,162.26,61.63
BNL11222,1,NSC,,74.35,134.49
BNL11223,1,NSC,,81,123.45
BNL11225,1,NSC,,147.59,67.75
BNL11226,1,NSC,,158.02,63.28
BNL11227,1,NSC,,79.26,126.17
BNL11228,1,NSC,,70.69,141.47
BNL11230,1,NSC,,59.61,167.76
BNL11237,1,NSC,,90.21,110.85
BNL11262,1,NSC,,70.07,142.7
BNL11335,1,NSC,,66.9,149.47
BNL11336,1,NSC,,153.83,65
BNL11340,1,NSC,,63.91,156.48
BNL11341,1,NSC,,109.02,91.73
BNL11343,1,NSC,,98.52,101.5
BNL11229,1,NSC,,65.88,151.8
BNL11215,1,NSC,,63.84,156.65
BNL11216,1,NSC,,75.79,131.95
BNL11217,1,NSC,,86.75,115.28
BNL11218,1,NSC,,77.25,129.45
BNL11219,1,NSC,,78.7,127.07
BNL11220,1,NSC,,158.2,63.21
BNL11221,1,NSC,,153.02,65.35
BNL11224,1,NSC,,71.27,140.31
BNL11332,1,NSC,,82.38,121.39
BNL11334,1,NSC,,119.07,83.98
BNL11337,1,NSC,,162.57,61.51
BNL11339,1,NSC,,113.1,88.42
BNL11356,1,NSC,,109.89,91
BNL11405,2,NSC,,101.87,98.16
BNL11468,2,NSC,,125.05,79.97
BNL11471,2,NSC,,129.61,77.15
BNL11478,2,NSC,,55.38,180.56
BNL11346,2,NSC,,101.93,98.1
BNL11355,2,NSC,,121.7,82.17
BNL11363,2,NSC,,80.71,123.89
BNL11372,2,NSC,,91.34,109.49
BNL11376,2,NSC,,96.73,103.38
BNL11393,2,NSC,,106.98,93.48
BNL11409,2,NSC,,167.38,59.74
BNL11425,2,NSC,,98.81,101.2
BNL11454,2,NSC,,104.5,95.7
BNL11455,2,NSC,,87.05,114.88
BNL11460,2,NSC,,99.14,100.87
BNL11473,2,NSC,,145.08,68.93
BNL11475,1,NSC,,135.54,73.78
BNL11493,2,NSC,,119.8,83.47
BNL11495,2,NSC,,108.58,92.1
BNL11310,2,NSC,,100.27,99.73
BNL11327,2,NSC,,139.33,71.77
BNL11328,2,NSC,,95.9,104.28
BNL11330,2,NSC,,95.28,104.96
BNL11338,2,NSC,,41.07,243.49
BNL11342,2,NSC,,109.31,91.49
BNL11366,2,NSC,,94.15,106.22
BNL11369,2,NSC,,83.95,119.12
BNL11379,2,NSC,,103.62,96.5
BNL11382,2,NSC,,119.8,83.47
BNL11389,2,NSC,,112.81,88.65
BNL11391,2,NSC,,126.8,78.87
BNL11394,2,NSC,,118.23,84.58
BNL11395,2,NSC,,100.56,99.44
BNL11398,2,NSC,,126.07,79.32
BNL11399,2,NSC,,108.27,92.36
BNL11438,2,NSC,,154.63,64.67
BNL11205,2,NSC,,117.61,85.02
BNL11209,2,NSC,,144.87,69.03
BNL11268,2,NSC,,120.97,82.67
BNL11383,2,NSC,,113.49,88.12
BNL11384,2,NSC,,104.79,95.43
BNL11406,2,NSC,,118.63,84.29
BNL11407,2,NSC,,94.68,105.62
BNL11408,2,NSC,,112.95,88.53
BNL11421,2,NSC,,78.12,128.01
BNL11439,2,NSC,,161.77,61.81
BNL11440,2,NSC,,98.23,101.8
BNL11441,2,NSC,,170.37,58.69
BNL11464,2,NSC,,108.27,92.36
BNL11469,2,NSC,,102.8,97.28
BNL11470,2,NSC,,147.35,67.87
BNL11695,2,NSC,61.27,123.25,81.13
BNL11696,2,NSC,64.24,98.19,101.85
BNL11697,2,NSC,45.28,121.57,82.26
BNL11698,2,NSC,50.38,82.07,121.85
BNL11781,2,NSC,45.29,109.17,91.6
BNL11761,2,NSC,49.71,85.24,117.32
BNL11762,2,NSC,48,97.08,103.01
BNL11763,2,NSC,46.46,163.41,61.2
BNL11769,2,NSC,60.44,91.96,108.74
BNL11770,2,NSC,45.45,157.21,63.61
BNL11771,2,NSC,46.74,116.44,85.88
BNL11772,2,NSC,49.92,159.92,62.53
BNL11773,2,NSC,47.57,185.46,53.92
BNL11774,2,NSC,53.98,174.07,57.45
BNL11775,2,NSC,60.83,89.92,111.21
BNL11776,2,NSC,61.74,107.76,92.8
BNL11777,2,NSC,42.5,90.4,110.62
BNL11778,2,NSC,47.65,145.75,68.61
BNL11779,2,NSC,41.45,99.24,100.76
BNL11780,2,NSC,53.22,137.89,72.52
BNL11790,2,NSC,46.52,116.93,85.52
BNL11782,2,NSC,41.61,119.27,83.84
BNL11785,2,NSC,39.18,104.15,96.01
BNL11786,2,NSC,55.82,130.7,76.51
BNL11787,2,NSC,60.26,90.98,109.92
BNL11788,2,NSC,45.6,89.09,112.25
BNL11789,2,NSC,60.29,88.43,113.08
BNL11690,2,NSC,49.42,135.74,73.67
BNL11691,2,NSC,37.69,101.1,98.91
BNL11692,2,NSC,41.96,92.36,108.27
BNL11693,2,NSC,51.15,158.52,63.09
BNL11694,2,NSC,47.04,156.44,63.92
BNL11699,2,NSC,52.6,91.25,109.59
BNL11700,2,NSC,58.84,88.62,112.84
BNL11677,2,NSC,47.02,178.29,56.09
BNL11678,2,NSC,64.57,116.08,86.15
BNL11679,2,NSC,60.96,126.69,78.93
BNL11680,2,NSC,44.49,102.76,97.31
BNL11681,2,NSC,40.2,124.4,80.39
BNL11682,2,NSC,38.87,101.1,98.91
BNL11683,2,NSC,58.91,96.54,103.58
BNL11684,2,NSC,47.3,164.45,60.81
BNL11685,2,NSC,39.77,110.25,90.7
BNL11686,2,NSC,58.67,98.06,101.98
BNL11687,2,NSC,37.76,126.9,78.81
BNL11688,2,NSC,50.75,114.33,87.47
BNL11689,2,NSC,40.83,88.62,112.84
BNL11666,2,NSC,46.29,156.44,63.92
BNL11667,2,NSC,61.44,89.53,111.69
BNL11668,2,NSC,42.58,106.3,94.07
BNL11669,2,NSC,48.56,96.32,103.83
BNL11670,2,NSC,40.23,109.42,91.39
BNL11671,2,NSC,59.05,92.63,107.95
BNL11673,2,NSC,38.85,99.23,100.78
BNL11674,2,NSC,45.86,170.37,58.69
BNL11675,2,NSC,48,151.44,66.03
BNL11676,2,NSC,48.11,171.62,58.27
BNL11648,2,NSC,50.21,175.24,57.06
BNL11659,2,NSC,49.71,86.62,115.44
BNL11660,2,NSC,63.06,86.13,116.1
BNL11665,2,NSC,55.07,81.88,122.13
BNL11672,2,NSC,44.88,190.66,52.45
BNL11901,2,NSC,44.71,120.07,83.28
BNL11902,2,NSC,47,99.23,100.78
BNL11947,2,NSC,51.4,167.34,59.76
BNL11948,2,NSC,49.31,182.23,54.88
BNL11949,2,NSC,65.88,108.59,92.09
BNL11950,2,NSC,64.85,112.96,88.53
BNL11951,2,NSC,63.45,82.67,120.97
BNL11952,2,NSC,56.03,133.55,74.88
BNL11953,2,NSC,46.02,103.6,96.53
BNL11954,2,NSC,50.43,82.2,121.65
BNL11658,2,NSC,53.68,153.21,65.27
BNL11661,2,NSC,47.5,148.53,67.33
BNL11662,2,NSC,46.3,97.86,102.19
BNL11663,2,NSC,38.18,113.17,88.37
BNL11664,2,NSC,48.85,92.57,108.02
BNL11936,2,NSC,47.39,183.41,54.52
BNL11937,2,NSC,69.63,75.96,131.65
BNL11938,2,NSC,45.48,99.35,100.65
BNL11939,2,NSC,51.35,164.35,60.85
BNL11940,2,NSC,59.41,99.98,100.02
BNL11941,2,NSC,53.33,104.84,95.38
BNL11942,2,NSC,60.68,107.97,92.62
BNL11943,2,NSC,55.49,91.12,109.75
BNL11944,2,NSC,44.22,178.24,56.11
BNL11945,2,NSC,44.93,122.01,81.96
BNL11946,2,NSC,53.98,126.38,79.13
BNL11579,2,NSC,54.48,89.06,112.28
BNL11580,2,NSC,48.55,191.21,52.3
BNL11581,2,NSC,45.38,170.14,58.78
BNL11582,2,NSC,55.99,95.49,104.72
BNL11583,2,NSC,60.14,108.43,92.22
BNL11584,2,NSC,62.22,115.62,86.49
BNL11585,2,NSC,60.93,138.16,72.38
BNL11586,2,NSC,65.4,120.68,82.87
BNL11587,2,NSC,57.14,79.96,125.06
BNL11588,2,NSC,54.78,90.07,111.03
BNL11589,2,NSC,54.62,87.7,114.03
BNL11590,2,NSC,56.52,93.91,106.48
BNL11591,2,NSC,62.38,46.37,215.66
BNL11592,2,NSC,60.7,46.14,216.75
BNL11597,2,NSC,45.37,135.79,73.64
BNL11598,2,NSC,44.24,158.88,62.94
