Sample_ID,Duplicate_flag,Chem_type,H20_pc,LMA_gDW_m2,SLA_cm2_gDW
BNL11741,1,CHN,52.43,154.52,64.72
BNL11743,1,CHN,60.87,131.99,75.76
BNL11744,1,CHN,54.46,72.7,137.54
BNL11746,1,CHN,61.38,120.91,82.7
BNL11747,1,CHN,54.1,157.89,63.33
BNL11748,1,CHN,52.48,174.83,57.2
BNL11749,1,CHN,49.48,141.13,70.86
BNL11750,1,CHN,43.16,151.3,66.09
BNL11751,1,CHN,61.09,79.96,125.06
BNL11545,1,CHN,48.13,161.41,61.96
BNL11546,1,CHN,50.42,158.95,62.91
BNL11801,1,CHN,45.42,90.05,111.05
BNL11802,1,CHN,45.35,94.23,106.12
BNL11803,1,CHN,59.87,124.98,80.01
BNL11804,1,CHN,58.15,137.07,72.95
BNL11805,1,CHN,54.49,163.53,61.15
BNL11806,1,CHN,55.33,147.62,67.74
BNL11807,1,CHN,50.75,88.55,112.93
BNL11808,1,CHN,49.34,92.15,108.52
BNL11809,1,CHN,52.11,90.73,110.22
BNL11810,1,CHN,50.14,93.97,106.42
BNL12203,1,CHN,64.71,85.55,116.89
BNL12204,1,CHN,64.82,83.48,119.79
BNL12205,1,CHN,46.97,124,80.64
BNL12206,1,CHN,48.13,146.44,68.29
BNL11726,1,CHN,59.33,133.24,75.05
BNL11724,1,CHN,47.96,79.57,125.68
BNL11731,1,CHN,46.35,87.06,114.87
BNL11728,1,CHN,57.1,143.23,69.82
BNL11737,1,CHN,56.43,152.27,65.67
BNL11729,1,CHN,60,83.9,119.19
BNL11732,1,CHN,60.56,88.62,112.84
BNL11721,1,CHN,60.4,123.52,80.96
BNL11722,1,CHN,51.62,140.28,71.28
BNL11723,1,CHN,45.66,106.68,93.74
BNL11725,1,CHN,59.22,127.16,78.64
BNL11727,1,CHN,56.04,158.2,63.21
BNL11730,1,CHN,48.35,88.28,113.28
BNL11735,1,CHN,61.72,89.27,112.02
BNL11736,1,CHN,61.42,90.8,110.13
BNL11738,1,CHN,56.61,111.05,90.05
BNL11791,1,CHN,53.49,160.54,62.29
BNL11812,1,CHN,67.79,104.53,95.66
BNL11535,1,CHN,64.81,118.57,84.34
BNL11799,1,CHN,45,82.38,121.39
BNL12202,1,CHN,56.18,121.69,82.17
BNL11811,1,CHN,50.23,89.03,112.32
BNL11794,1,CHN,61.39,90.94,109.96
BNL11792,1,CHN,53.5,155.22,64.42
BNL11798,1,CHN,37.25,108.09,92.52
BNL11793,1,CHN,64.38,99.05,100.96
BNL11795,1,CHN,45.4,113.58,88.04
BNL11534,1,CHN,51.8,107.09,93.38
BNL11797,1,CHN,49.41,80.51,124.21
BNL11518,1,CHN,61.54,124.82,80.12
BNL11520,1,CHN,70.92,102.35,97.71
BNL11796,1,CHN,54.81,99.64,100.36
BNL11516,1,CHN,53.81,151.34,66.08
BNL11513,1,CHN,62.94,83.17,120.23
BNL11511,1,CHN,43.89,84.04,118.99
BNL11510,1,CHN,57.79,90.62,110.36
BNL11512,1,CHN,53.07,103.1,97
BNL11703,1,CHN,64.45,84.36,118.55
BNL11549,1,CHN,46.14,94.11,106.26
BNL11533,1,CHN,49.61,158.57,63.06
BNL11517,1,CHN,50.28,146.87,68.09
BNL11514,1,CHN,48.44,157.02,63.69
BNL11509,1,CHN,63.69,115.9,86.28
BNL11515,1,CHN,60.56,132.1,75.7
BNL11547,1,CHN,53.24,87.55,114.22
BNL11548,1,CHN,54.4,86.33,115.83
BNL11550,1,CHN,58.8,146.03,68.48
BNL11800,1,CHN,63.73,128.56,77.78
BNL11613,1,CHN,55.28,149.78,66.77
BNL11615,1,CHN,56.25,80.09,124.86
BNL11632,1,CHN,66.77,79.43,125.9
BNL11616,1,CHN,53.15,78.95,126.67
BNL11617,1,CHN,51.7,166.3,60.13
BNL11614,1,CHN,50,109.84,91.04
BNL11612,1,CHN,47,99.23,100.78
BNL11618,1,CHN,51.09,157.6,63.45
BNL11611,1,CHN,53.78,165.01,60.6
BNL11609,1,CHN,66.69,103.1,97
BNL11610,1,CHN,66.05,105.09,95.15
BNL11631,1,CHN,65.47,81.73,122.35
BNL11605,1,CHN,53.24,132.3,75.58
BNL11607,1,CHN,47.33,94.24,106.12
BNL11608,1,CHN,50.97,71.14,140.56
BNL11606,1,CHN,53.11,103.39,96.72
BNL11628,1,CHN,58.44,146.28,68.36
BNL11619,1,CHN,54.37,134.8,74.18
BNL11634,1,CHN,48.87,90.62,110.36
BNL11783,1,CHN,44.4,105.26,95
BNL11784,1,CHN,46.42,88.62,112.84
BNL11623,1,CHN,52.1,166.46,60.07
BNL11621,1,CHN,66.67,69.47,143.95
BNL11630,1,CHN,50.56,88.87,112.53
BNL11624,1,CHN,54.98,151.36,66.07
BNL11622,1,CHN,62.55,92.58,108.02
BNL11629,1,CHN,57.1,94.86,105.42
BNL11625,1,CHN,68.23,98.35,101.67
BNL11633,1,CHN,61.11,87.37,114.45
BNL11627,1,CHN,54.06,164.01,60.97
BNL11620,1,CHN,48.08,112.33,89.02
BNL11626,1,CHN,61.44,108.28,92.36
BNL11521,1,CHN,62.28,73.31,136.41
BNL11538,1,CHN,63.73,68.55,145.88
BNL11539,1,CHN,48.14,105.56,94.73
BNL11540,1,CHN,63.1,82.83,120.73
BNL11541,1,CHN,63.41,108.43,92.22
BNL11542,1,CHN,58.58,103.23,96.87
BNL11543,1,CHN,59.46,91.58,109.2
BNL11635,1,CHN,51.57,170.69,58.59
BNL11636,1,CHN,52.61,102.1,97.95
BNL11637,1,CHN,59.38,114.07,87.67
BNL11638,1,CHN,44.44,108.27,92.36
BNL11639,1,CHN,40.25,103.5,96.61
BNL11640,1,CHN,46.82,101.34,98.68
BNL11641,1,CHN,60.15,70.94,140.97
BNL11642,1,CHN,50.98,102.42,97.64
BNL11643,1,CHN,52.18,108.1,92.51
BNL11644,1,CHN,55.82,129.6,77.16
BNL11645,1,CHN,46.71,105.24,95.02
BNL11647,1,CHN,53.93,112.22,89.11
BNL11649,1,CHN,52,106.54,93.86
BNL11655,1,CHN,52.14,87.05,114.88
BNL11593,1,CHN,71.89,41.7,239.79
BNL11594,1,CHN,63.28,61.55,162.46
BNL11595,1,CHN,69.86,31.01,322.43
BNL11646,1,CHN,65.87,36.86,271.29
BNL11650,1,CHN,63.8,130.59,76.58
BNL11651,1,CHN,71.76,33.81,295.78
BNL11652,1,CHN,60.41,127.53,78.42
BNL11653,1,CHN,57.27,51.02,196.02
BNL11656,1,CHN,64.78,120,83.33
BNL11657,1,CHN,54.53,70.74,141.37
BNL11816,1,CHN,64.69,59.55,167.94
BNL11918,1,CHN,57.94,82.96,120.54
BNL11914,1,CHN,50.54,185.24,53.98
BNL11913,1,CHN,49.13,156.05,64.08
BNL11920,1,CHN,52.84,88.83,112.57
BNL11915,1,CHN,63.43,101.63,98.39
BNL11916,1,CHN,66.16,103.57,96.55
BNL11921,1,CHN,64.68,124.56,80.28
BNL11922,1,CHN,68.28,105.71,94.6
BNL11925,1,CHN,58.81,77.24,129.46
BNL11926,1,CHN,57.82,77.05,129.79
BNL11919,1,CHN,51.93,92.89,107.65
BNL11917,1,CHN,60.12,78.18,127.9
BNL11924,1,CHN,67.2,45.6,219.28
BNL11923,1,CHN,67.75,45.43,220.12
BNL11927,1,CHN,49.12,136.17,73.44
BNL11928,1,CHN,49.54,155.19,64.44
BNL11929,1,CHN,62.55,104.79,95.43
BNL11930,1,CHN,62.16,100.64,99.37
BNL11931,1,CHN,50.38,91.45,109.35
BNL11932,1,CHN,48.06,113.17,88.37
BNL11933,1,CHN,56.71,87.18,114.71
BNL11934,1,CHN,60.43,90.07,111.02
BNL11935,1,CHN,64.91,126.58,79
BNL11955,1,CHN,69,106.17,94.19
BNL11956,1,CHN,65.62,45.04,222.03
BNL11957,1,CHN,62.13,50.02,199.92
BNL11958,1,CHN,57.6,80.96,123.52
BNL11959,1,CHN,57.95,74.77,133.75
BNL11960,1,CHN,47.15,141.43,70.71
BNL11961,1,CHN,48.8,136.71,73.15
BNL11962,1,CHN,63.84,107.5,93.02
BNL11963,1,CHN,63.59,104.64,95.56
BNL11964,1,CHN,59.25,88.46,113.04
BNL11965,1,CHN,46.94,119.04,84.01
BNL11966,1,CHN,61.2,95.95,104.22
BNL11967,1,CHN,58.07,95.33,104.9
BNL11968,1,CHN,62.11,129.76,77.07
BNL11969,1,CHN,62.6,134.96,74.1
BNL11970,1,CHN,64.29,46.01,217.32
BNL11971,1,CHN,68.13,45.55,219.52
BNL11972,1,CHN,59.48,75.98,131.61
BNL11973,1,CHN,57.17,76.56,130.61
BNL11974,1,CHN,46.9,131.99,75.76
BNL11975,1,CHN,50.25,151.2,66.14
BNL11596,1,CHN,78.85,31.69,315.57
BNL11599,1,CHN,73.06,28.74,347.94
BNL11600,1,CHN,59.41,33.9,294.99
BNL11817,1,CHN,70.62,57.71,173.27
BNL11818,1,CHN,71.59,55.32,180.75
BNL11819,1,CHN,69.49,61.21,163.38
BNL11820,1,CHN,72.29,54.46,183.61
BNL11821,1,CHN,75.41,29.48,339.24
BNL11822,1,CHN,82.44,22.01,454.4
BNL11823,1,CHN,69.07,66.44,150.5
BNL11824,1,CHN,66.88,45.18,221.34
BNL11825,1,CHN,50.75,41.39,241.6
BNL11826,1,CHN,72.46,41.1,243.31
BNL11827,1,CHN,54.3,43.28,231.06
BNL11828,1,CHN,56.9,41.25,242.45
BNL11829,1,CHN,73.01,34.03,293.85
BNL11830,1,CHN,69.32,44.11,226.7
BNL11831,1,CHN,56,41.32,242
BNL11832,1,CHN,41.5,75.59,132.29
BNL11833,1,CHN,67.72,45.33,220.62
BNL11834,1,CHN,73.94,35.08,285.1
BNL11845,1,CHN,67.98,60.72,164.68
BNL11848,1,CHN,59.68,30.71,325.67
BNL11849,1,CHN,67.81,74.59,134.06
BNL11850,1,CHN,72.66,26.93,371.29
BNL11976,1,CHN,47.56,119.22,83.88
BNL11977,1,CHN,47.68,123.82,80.76
BNL11978,1,CHN,69.32,86.64,115.41
BNL11979,1,CHN,63.37,108.65,92.04
BNL11980,1,CHN,56.98,90.29,110.76
BNL11981,1,CHN,54.15,83.11,120.32
BNL11982,1,CHN,57.65,84.52,118.31
BNL11983,1,CHN,57.66,82.17,121.69
BNL11984,1,CHN,59.6,145.74,68.61
BNL11985,1,CHN,65.84,120.86,82.74
BNL11986,1,CHN,65.42,48.44,206.42
BNL11987,1,CHN,66.12,49.99,200.04
BNL11988,1,CHN,59.26,79.81,125.3
BNL11989,1,CHN,60.28,75.58,132.31
BNL11551,1,CHN,48.05,128.33,77.93
BNL11552,1,CHN,48.58,144.65,69.13
BNL11555,1,CHN,63.87,103.99,96.17
BNL11556,1,CHN,63.56,104.35,95.83
BNL11557,1,CHN,51.83,106.31,94.06
BNL11558,1,CHN,57.13,71.85,139.18
BNL11559,1,CHN,59.4,86.75,115.27
BNL11560,1,CHN,60.55,84.76,117.98
BNL11561,1,CHN,64.7,119.36,83.78
BNL11562,1,CHN,60.64,148.29,67.43
BNL11563,1,CHN,66.28,51.93,192.55
BNL11564,1,CHN,66.75,49.19,203.3
BNL11569,1,CHN,57.18,78.63,127.18
BNL11570,1,CHN,70.33,72.65,137.64
STRI_0019,1,NSC,66.31,85.7,116.68
STRI_0020,1,NSC,72.84,76.23,131.19
STRI_0021,1,NSC,80.25,69.3,144.3
STRI_0022,1,NSC,73.92,71.37,140.12
STRI_0023,1,NSC,48.1,177.54,56.32
STRI_0024,1,NSC,34.27,172.98,57.81
STRI_0025,1,NSC,69.33,139.88,71.49
STRI_0026,1,NSC,27.59,139.74,71.56
STRI_0027,1,NSC,67.78,76.32,131.03
STRI_0028,1,NSC,53.32,102.37,97.69
STRI_0029,1,NSC,78.76,46.58,214.69
STRI_0030,1,NSC,80.29,47.02,212.69
STRI_0031,1,NSC,60.03,172.98,57.81
STRI_0032,1,NSC,61.4,169.3,59.07
STRI_0033,1,NSC,60,70.18,142.5
STRI_0034,1,NSC,60.68,75.88,131.79
STRI_0035,1,NSC,74.39,41.33,241.94
STRI_0036,1,NSC,76.05,44.12,226.64
STRI_0055,1,NSC,66.03,89.39,111.87
STRI_0056,1,CHN/NSC,66.13,89.12,112.2
STRI_0057,1,NSC,72.84,73.86,135.39
STRI_0058,1,CHN/NSC,71.33,75.44,132.56
STRI_0059,1,CHN/NSC,37.07,160.09,62.47
STRI_0060,1,NSC,47.89,164.56,60.77
STRI_0061,1,NSC,61.24,131.46,76.07
STRI_0062,1,CHN/NSC,60.05,133.16,75.1
STRI_0063,1,NSC,60.81,96.26,103.89
STRI_0064,1,CHN/NSC,57.33,104.8,95.42
STRI_0065,1,CHN/NSC,77.15,52.11,191.92
STRI_0066,1,NSC,77.81,50.61,197.57
STRI_0067,1,NSC,58.55,184.21,54.29
STRI_0068,1,CHN/NSC,59.83,164.44,60.81
STRI_0069,1,CHN/NSC,59.72,70.67,141.51
STRI_0070,1,NSC,56.92,78.6,127.23
STRI_0071,1,CHN/NSC,73.08,47.23,211.74
STRI_0072,1,NSC,73.3,43.09,232.08
STRI_0093,1,NSC,65.59,88.54,112.95
STRI_0094,1,NSC,63.24,90.29,110.75
STRI_0095,1,NSC,72.04,78.48,127.42
STRI_0096,1,NSC,71.08,87.95,113.7
STRI_0097,1,NSC,47.67,183.63,54.46
STRI_0098,1,NSC,49.21,196.02,51.01
STRI_0099,1,NSC,60.57,138.36,72.27
STRI_0100,1,NSC,60.53,138.48,72.21
STRI_0101,1,NSC,51.88,101.32,98.7
STRI_0102,1,NSC,52.31,108.77,91.94
STRI_0103,1,NSC,79.04,47.81,209.17
STRI_0104,1,NSC,77.04,54.39,183.87
STRI_0105,1,NSC,62.58,166.32,60.13
STRI_0106,1,NSC,60.54,170.76,58.56
STRI_0107,1,NSC,59.67,76.42,130.85
STRI_0108,1,NSC,60.46,72.14,138.62
STRI_0109,1,NSC,73.88,44,227.27
STRI_0110,1,NSC,73,43.58,229.47
STRI_0129,1,NSC,66.33,94.5,105.82
STRI_0130,1,NSC,64.81,86.43,115.7
STRI_0131,1,NSC,62.97,94.21,106.15
STRI_0132,1,NSC,60.11,97.98,102.06
STRI_0133,1,NSC,52.09,184.91,54.08
STRI_0134,1,NSC,51.38,181.99,54.95
STRI_0135,1,NSC,48.43,138.71,72.09
STRI_0136,1,NSC,51.42,110.79,90.26
STRI_0137,1,NSC,60.23,153.51,65.14
STRI_0138,1,NSC,60.91,150.88,66.28
STRI_0139,1,NSC,52.35,222.92,44.86
STRI_0140,1,NSC,53.73,200.23,49.94
STRI_0141,1,NSC,53.72,117.72,84.95
STRI_0142,1,NSC,52.45,122.34,81.74
STRI_0143,1,NSC,68.36,91.58,109.2
STRI_0144,1,NSC,69.17,86.55,115.54
STRI_0145,1,NSC,50.89,103.39,96.72
STRI_0146,1,NSC,55.3,104.56,95.64
STRI_0165,1,CHN/NSC,62.43,92.28,108.37
STRI_0166,1,NSC,65.57,84.56,118.26
STRI_0167,1,CHN/NSC,62.41,95.61,104.59
STRI_0168,1,NSC,59.07,104.12,96.04
STRI_0169,1,NSC,49.19,213.92,46.75
STRI_0170,1,CHN/NSC,51.11,217.31,46.02
STRI_0171,1,CHN/NSC,52.38,108.6,92.08
STRI_0172,1,NSC,42.36,126.4,79.11
STRI_0173,1,NSC,59.54,170.35,58.7
STRI_0174,1,CHN/NSC,65.9,125.61,79.61
STRI_0175,1,NSC,51.68,226.08,44.23
STRI_0176,1,CHN/NSC,55.22,193.8,51.6
STRI_0177,1,NSC,49.94,136.14,73.45
STRI_0178,1,CHN/NSC,50.54,138.83,72.03
STRI_0179,1,NSC,66.84,90.18,110.89
STRI_0180,1,CHN/NSC,66.39,91.4,109.4
STRI_0181,1,NSC,56.17,117.89,84.82
STRI_0182,1,CHN/NSC,50.25,116.37,85.93
STRI_0201,1,NSC,66.87,89.12,112.2
STRI_0202,1,NSC,64.1,83.98,119.08
STRI_0203,1,NSC,62.67,98.25,101.79
STRI_0204,1,NSC,61.52,91.14,109.72
STRI_0205,1,NSC,53.7,178.71,55.96
STRI_0206,1,NSC,54.91,174.04,57.46
STRI_0207,1,NSC,41.9,142.69,70.08
STRI_0208,1,NSC,47.86,128.07,78.08
STRI_0209,1,NSC,57.78,170.35,58.7
STRI_0210,1,NSC,55.79,186.14,53.72
STRI_0211,1,NSC,53.74,210.99,47.39
STRI_0212,1,NSC,52.76,209.94,47.63
STRI_0213,1,NSC,49.38,153.92,64.97
STRI_0214,1,NSC,50.33,117.63,85.01
STRI_0215,1,NSC,66.15,102.92,97.16
STRI_0216,1,NSC,65.48,99.91,100.09
STRI_0217,1,NSC,53.25,109.36,91.44
STRI_0218,1,NSC,,109.71,91.15
BNL10485,2,NSC,,107.26,93.23
BNL10463,2,NSC,,100.34,99.67
BNL10465,2,NSC,,96.47,103.66
BNL10467,2,NSC,,156.37,63.95
BNL10469,2,NSC,,85.45,117.03
BNL10471,2,NSC,,93.12,107.39
BNL10473,2,NSC,,103,97.09
BNL10475,2,NSC,,90.77,110.17
BNL10477,2,NSC,,168.76,59.26
BNL10479,2,NSC,,146.95,68.05
BNL10481,2,NSC,,99.68,100.32
BNL10483,2,NSC,,94.84,105.45
BNL10487,2,NSC,,96.57,103.55
BNL10489,2,NSC,,100.07,99.93
BNL10491,2,NSC,,135.04,74.05
BNL10493,2,NSC,,86.86,115.13
BNL10495,2,NSC,,94.53,105.79
BNL10497,2,NSC,,99.1,100.91
BNL10499,2,NSC,,101.75,98.28
BNL10501,2,NSC,,81.17,123.2
BNL10503,2,NSC,,125.13,79.91
BNL10507,2,NSC,,99.06,100.95
BNL10509,2,NSC,,81.22,123.12
BNL10511,2,NSC,,109.86,91.02
BNL10513,2,NSC,,96.48,103.65
BNL10505,2,NSC,,111.53,89.66
BNL10515,2,NSC,,87.56,114.21
BNL10517,2,NSC,,90.61,110.36
BNL10519,2,NSC,,91.08,109.79
BNL10520,2,NSC,,95.93,104.24
BNL10521,2,NSC,,100.7,99.3
BNL10522,2,NSC,,101.72,98.31
BNL10523,2,NSC,,118.54,84.36
BNL10524,2,NSC,,102.23,97.82
BNL10525,2,NSC,,153.52,65.14
BNL10526,2,NSC,,101.17,98.84
BNL10527,2,NSC,,113.67,87.97
BNL10528,2,NSC,,160.89,62.16
BNL10529,2,NSC,,81.17,123.2
BNL10530,2,NSC,,87.09,114.82
BNL10531,2,NSC,,139.61,71.63
BNL10532,2,NSC,,99.24,100.76
BNL10533,2,NSC,,79.34,126.04
BNL10534,2,NSC,,103.52,96.6
BNL10712,2,NSC,,88.46,113.05
BNL10713,2,NSC,,120.1,83.27
BNL10714,2,NSC,,118.6,84.32
BNL10715,2,NSC,,84.96,117.7
BNL10716,2,NSC,,97.42,102.65
BNL10717,2,NSC,,129.85,77.01
BNL10718,2,NSC,,79.58,125.66
BNL10719,2,NSC,,161.97,61.74
BNL10767,2,NSC,,87.39,114.43
