Sample_ID,Cmass_pc,Nmass_pc,CNratio,Carea_g_m2,Narea_g_m2
BNL11980,42.43,2.91,14.58,38.31,2.63
BNL11983,48.07,1.14,42.17,39.5,0.94
BNL11985,42,2.49,16.87,50.76,3.01
BNL11988,51.97,2.11,24.63,41.48,1.68
STRI_0056,47.96,1.37,35.01,-9999,-9999
STRI_0058,44.75,2.91,15.38,-9999,-9999
STRI_0059,50.3,1.76,28.58,-9999,-9999
STRI_0062,48.36,1.34,36.09,-9999,-9999
STRI_0064,41.83,2.69,15.55,-9999,-9999
STRI_0065,47.31,2.65,17.85,-9999,-9999
STRI_0068,40.46,2.16,18.73,-9999,-9999
STRI_0069,50.08,3.14,15.95,-9999,-9999
STRI_0071,47.69,2.65,18,-9999,-9999
STRI_0165,50.36,1.74,28.94,-9999,-9999
STRI_0167,51.17,1.6,31.98,-9999,-9999
STRI_0170,50.83,1.17,43.44,-9999,-9999
STRI_0171,52.52,2.2,23.87,-9999,-9999
STRI_0174,49.53,1.24,39.94,-9999,-9999
STRI_0176,52.6,1.32,39.85,-9999,-9999
STRI_0178,52.38,1.71,30.63,-9999,-9999
STRI_0180,48.68,2.2,22.13,-9999,-9999
STRI_0182,50.81,1.96,25.92,-9999,-9999
