"Site","Sample_ID","Sample_Date","Species_Code","Genus","Species","Canopy_position","Light_Exposure","Sample_Type","Latitude","Longitude","Cmass_mg_g","Nmass_mg_g","CNratio","Carea_g_m2","Narea_g_m2","LMA_gDW_m2"
"FLMM","BNL12730",20170306,"BOU-SUC","Bourreria","succculenta","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,512.1,16.8,30.48,46.6,1.53,91
"SB2","BNL12907T",20170308,"SYZ-JAM","Syzygium","jambos","Mid","Part_Sun","Chem",18.302924,-65.787412,496.4,17.7,28.05,55.33,1.97,111.46
"FLMM","BNL12731",20170306,"CLU-ROS","Clusia","rosea","Upper","Sunlit","GasEx / Fs",18.387864,-66.028765,476.4,12.1,39.37,143.25,3.64,300.7
"SB2","BNL12908T",20170308,"SYZ-JAM","Syzygium","jambos","Mid","Part_Sun","Chem",18.302924,-65.787412,484.3,16.7,29,63.56,2.19,131.24
"FLMM","BNL12732",20170306,"GUA-FRA","Guapira","fragans","Upper","Sunlit","Chem",18.387864,-66.028765,471.2,38.3,12.3,32.14,2.61,68.21
"SB2","BNL12909T",20170308,"SYZ-JAM","Syzygium","jambos","Mid","Part_Sun","Chem",18.302924,-65.787412,516.5,23.5,21.98,29.35,1.34,96.59
"FLMM","BNL12733",20170306,"GUA-FRA","Guapira","fragans","Upper","Sunlit","Chem",18.387864,-66.028765,459,34.6,13.27,15.46,1.17,33.67
"SB2","BNL12910T",20170308,"ALC-LAT","Alchornea","latifolia Sw.","Mid","Part_Sun","Chem",18.302924,-65.787412,496.5,22.2,22.36,24.75,1.11,49.85
"FLMM","BNL12734",20170306,"COC-DIV","Coccoloba","diversifolia","Upper","Sunlit","Chem",18.387864,-66.028765,478.7,21.4,22.37,62.43,2.79,130.42
"SB2","BNL12911T",20170309,"ALC-LAT","Alchornea","latifolia Sw.","Mid","Part_Sun","Chem",18.302924,-65.787412,489.8,29.1,16.83,28.03,1.67,57.23
"FLMM","BNL12735",20170306,"COC-DIV","Coccoloba","diversifolia","Upper","Sunlit","Chem",18.387864,-66.028765,466.8,18.7,24.96,57.98,2.32,124.21
