"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","N.mu","N.q25","N.q975","Cab.mu","Cab.q25","Cab.q975","Car.mu","Car.q25","Car.q975","Canth.mu","Canth.q25","Canth.q975","Cbrown.mu","Cbrown.q25","Cbrown.q975","Cw.mu","Cw.q25","Cw.q975","Cm.mu","Cm.q25","Cm.q975"
"BNL10991","PA-PNM","SE_PSRPlus","ANACEX","Anacardium","excelsum","sunlit","121.748950110896","20160314",1.61815808939785,1.61379121204635,1.63097207906617,53.1474378851109,52.5677666571227,54.6561427283275,15.0188597119195,14.1807196160938,17.2291239309228,2.54630150601123,2.3302432811061,3.22521162099876,0.00653556280336894,0.00442261712475475,0.0128088266413771,0.0167407651088216,0.0166743062137122,0.016952783439485,0.00336721436462185,0.00323211436319008,0.00378944273262087
"BNL10401","PA-PNM","SVC_HR-1024i","ALBIAD","Albizia","adinocephala","sunlit","80.4439434395519","20160213",2.10969306476344,2.10392854207279,2.12601763479555,43.5620369526403,43.2615351268791,44.4492042690574,16.3377955831909,15.9428300933717,17.5514006329424,1.3743849607283,1.26037489031565,1.68127722173108,0.00194798983312134,0.00138052444712198,0.00373485637339094,0.0129825894616621,0.0129373696058987,0.0131162618412625,0.0105546038435457,0.0104352670886358,0.0109136972290909
"BNL11004","PA-PNM","SE_PSRPlus","ANTITR","Pittoniotis","trichantha","sunlit","175.026670948942","20160314",1.49952444146287,1.49607700006315,1.5106069371602,25.064951771857,24.7794950114605,25.8828613128137,7.30603422422407,6.98513118114634,8.20169492916465,2.71089460627963,2.59485472844136,3.03907156996415,0.0697158591845302,0.0603759189998213,0.0955635081246441,0.00810250596176943,0.0080555066987047,0.00823293809183964,0.00449973971459767,0.00440677040470874,0.00477469763485071
"BNL10402","PA-PNM","SVC_HR-1024i","CAL2CA","Calycophyllum","candidissimum","sunlit","126.151706379077","20160213",1.8687274251764,1.86426701464006,1.88236501471068,51.4989912578709,51.18897078452,52.4694518391725,15.6621849910187,15.2182801665357,16.9157015856717,2.37383804893777,2.23456154087306,2.75887731072267,0.00315162170741169,0.00225942087459581,0.00601500603464883,0.0170746812214934,0.0170257638802831,0.0172121733946499,0.00913379633407525,0.00900664792933427,0.0095054829120389
"BNL11055","PA-PNM","SE_PSRPlus","ALBIAD","Albizia","adinocephala","sunlit","115.346330886994","20160314",1.94704322936983,1.9434226142387,1.95781417735875,33.5910590773763,33.3484766673487,34.2592119292416,10.6535929557677,10.3987779393851,11.4512361488053,1.29339781981725,1.20980035778449,1.53928376667605,0.00289862946287552,0.00198993698391466,0.00556951047290128,0.00833357080946018,0.00830311087596287,0.00842544727941138,0.00606099903189873,0.00599055487080684,0.00627473034937049
"BNL10403","PA-PNM","SVC_HR-1024i","ANTITR","Pittoniotis","trichantha","sunlit","134.313416060925","20160213",1.6827365669085,1.67974635803079,1.69175575173377,35.4122106067638,35.1601475384671,36.1291624938225,10.3020291311472,10.0084109814407,11.1902389153354,2.10952264546945,2.00769375591958,2.38781054844837,0.00417283585903189,0.0029543702636004,0.00814041746795485,0.0104190216138209,0.0103830450222405,0.0105167816558053,0.00682054166725569,0.00674574229259688,0.00705006728982405
"BNL11062","PA-PNM","SE_PSRPlus","CAL2CA","Calycophyllum","candidissimum","sunlit","100.185000848391","20160314",1.53537216376624,1.52948075063279,1.55243342612247,19.8313074952316,19.5984823002005,20.4792188658453,5.52128355347437,5.26457564682335,6.27892187294464,2.1387526277358,2.04114121918583,2.42726178652388,0.0579629096324467,0.0486622588952359,0.0866389109986153,0.0157259034742105,0.0156267340290295,0.0160002356747377,0.00350614752132037,0.00331404772836297,0.00406215537422182
"BNL10404","PA-PNM","SVC_HR-1024i","CAL2CA","Calycophyllum","candidissimum","sunlit","127.259674655176","20160213",2.07624095158773,2.07125669000673,2.09127321869146,60.4741563736994,60.0816403778496,61.5243830700046,17.178956447635,16.6942456381425,18.5534365803101,2.48289163987889,2.3306172311098,2.9096198958745,0.00248747641796339,0.00175129568620692,0.00495418378352586,0.0191226079171182,0.0190720685251076,0.0192683522164308,0.0100102250588501,0.00988588710453539,0.0103955938262118
"BNL11063","PA-PNM","SE_PSRPlus","CAL2CA","Calycophyllum","candidissimum","sunlit","105.869943173515","20160314",1.54555885375834,1.54167075738225,1.55689179579667,44.7646878138178,44.3283156290825,45.9715508827645,11.579946995379,11.0993946041962,12.9803956732465,2.16922552562967,2.02598320203177,2.66026671886786,0.00499595173886601,0.00337155053595151,0.0101438513988064,0.0152598136810661,0.0151967480596568,0.0154450042327434,0.00396593668545239,0.00384245721905618,0.00434334426447058
"BNL10405","PA-PNM","SVC_HR-1024i","CASTEL","Castilla","elastica","sunlit","102.614697977629","20160213",1.87117562677366,1.8664656667334,1.88465980226201,50.6718984961215,50.3508942038083,51.6695837158243,15.4142470246547,14.9732103590237,16.724644753522,1.67655606560345,1.54531571062799,2.04065557023938,0.00240686210198633,0.00169195408847426,0.00491783453544213,0.0151485526125162,0.0150994055048198,0.0152844873111887,0.0074543637717607,0.00732775530085816,0.00783078562948906
"BNL11064","PA-PNM","SE_PSRPlus","FICUIN","Ficus","insipida","sunlit","84.2156242964871","20160314",1.79151705442673,1.78676169672285,1.8058236659575,59.420189954988,58.9257276582134,60.9130726669824,16.4401963637064,15.7791551540976,18.3540686742116,2.87729687297336,2.68202978843533,3.39913652262703,0.00547512720116338,0.0037420341381059,0.0110648872857202,0.0260485519976624,0.0259808038295728,0.0262390992732798,0.000786391723109012,0.000643728069901837,0.00118189269227179
