SampleID,Site,Latitude,Longitude,Sample_Type,Date,Species_Number,Species_ID,Full_Species_Name,Genus,Species,Leaf_Age,Canopy_Position,Light_Exposure
BNL12620T,FLMM,18.387864,-66.028765,Chem,20170306,27,MAN-BID,Manilkara bidentata,Manilkara,bidentata,Old-epiphyll,Upper,Sunlit
BNL12621,FLMM,18.387864,-66.028765,Chem,20170306,32,COC-DIV,Coccoloba diversifolia,Coccoloba,diversifolia,Mature,Upper,Sunlit
BNL12621T,FLMM,18.387864,-66.028765,Chem,20170306,32,COC-DIV,Coccoloba diversifolia,Coccoloba,diversifolia,Mature,Upper,Sunlit
BNL12622,FLMM,18.387864,-66.028765,Chem,20170306,32,COC-DIV,Coccoloba diversifolia,Coccoloba,diversifolia,Old,Upper,Sunlit
BNL12622T,FLMM,18.387864,-66.028765,Chem,20170306,32,COC-DIV,Coccoloba diversifolia,Coccoloba,diversifolia,Old,Upper,Sunlit
BNL12623,FLMM,18.387864,-66.028765,Chem,20170307,111,FIC-TRY,Ficus trigonata,Ficus,trigonata,Mature-Old,Upper,Sunlit
BNL12623T,FLMM,18.387864,-66.028765,Chem,20170307,111,FIC-TRY,Ficus trigonata,Ficus,trigonata,Mature-Old,Upper,Sunlit
BNL12624,FLMM,18.387864,-66.028765,Chem,20170307,111,FIC-TRY,Ficus trigonata,Ficus,trigonata,Old,Upper,Sunlit
BNL12624T,FLMM,18.387864,-66.028765,Chem,20170307,111,FIC-TRY,Ficus trigonata,Ficus,trigonata,Old,Upper,Sunlit
BNL12625,FLMM,18.387864,-66.028765,Chem,20170307,26-1,FIC-CIT,Ficus citrifolia,Ficus,citrifolia,Young-Mature,Lower,Shaded
BNL12625T,FLMM,18.387864,-66.028765,Chem,20170307,26-1,FIC-CIT,Ficus citrifolia,Ficus,citrifolia,Young-Mature,Lower,Shaded
BNL12626,FLMM,18.387864,-66.028765,Chem,20170307,26-1,FIC-CIT,Ficus citrifolia,Ficus,citrifolia,Young-Mature,Lower,Shaded
BNL12626T,FLMM,18.387864,-66.028765,Chem,20170307,26-1,FIC-CIT,Ficus citrifolia,Ficus,citrifolia,Young-Mature,Lower,Shaded
BNL12627,FLMM,18.387864,-66.028765,Chem,20170307,61,TRE-MIC,Trema micrantha,Trema,micrantha,Old,Lower,Shaded
BNL12627T,FLMM,18.387864,-66.028765,Chem,20170307,61,TRE-MIC,Trema micrantha,Trema,micrantha,Old,Lower,Shaded
