SampleID,Leaf_H2O_pc,SLA,LMA,QA_QC_Flag,Comments
BNL12728T,49.38,115.35,86.69,,
BNL12729,51.34,122.82,81.42,,
BNL12729T,51.34,122.82,81.42,,
BNL12730,52.03,109.88,91,,
BNL12730T,52.03,109.88,91,,
BNL12731,69.59,33.26,300.7,,
BNL12731T,69.59,33.26,300.7,,
BNL12732,80.56,146.61,68.21,,
BNL12732T,80.56,146.61,68.21,,
BNL12733,71.8,296.96,33.67,,
BNL12733T,71.8,296.96,33.67,,
BNL12734,54.24,76.67,130.42,,
BNL12734T,54.24,76.67,130.42,,
BNL12735,52.32,80.51,124.21,,
BNL12735T,52.32,80.51,124.21,,
BNL12736,57.06,114.05,87.68,,
BNL12736T,57.06,114.05,87.68,,
BNL12737,70.35,34.53,289.58,,
BNL12737T,70.35,34.53,289.58,,
BNL12738,71.07,33.65,297.16,,
BNL12738T,71.07,33.65,297.16,,
BNL12740,52.67,103.95,96.2,,
BNL12740T,52.67,103.95,96.2,,
BNL12741,58.32,127.07,78.7,,
BNL12741T,58.32,127.07,78.7,,
BNL12742,55.41,121.64,82.21,,
BNL12742T,55.41,121.64,82.21,,
BNL12743,59.3,67.33,148.52,,
BNL12743T,59.3,67.33,148.52,,
BNL12744,56.9,47.5,210.52,,
BNL12744T,56.9,47.5,210.52,,
BNL12745,54.92,60.66,164.86,,
BNL12745T,54.92,60.66,164.86,,
BNL12746,55.75,61.79,161.83,,
BNL12746T,55.75,61.79,161.83,,
BNL12623,58.31,99.82,100.18,,
BNL12623T,58.31,99.82,100.18,,
BNL12624,59.66,99.6,100.41,,
BNL12624T,59.66,99.6,100.41,,
BNL12625,68.3,204.23,48.96,,
BNL12625T,68.3,204.23,48.96,,
BNL12626,67.54,199.95,50.01,,
BNL12626T,67.54,199.95,50.01,,
BNL12627,62.03,145.71,68.63,,
BNL12627T,62.03,145.71,68.63,,
BNL12628,60.99,112.77,88.68,,
BNL12628T,60.99,112.77,88.68,,
BNL12629,62.9,102.32,97.73,,
BNL12629T,62.9,102.32,97.73,,
BNL12630,47.32,97.54,102.52,,
BNL12630T,47.32,97.54,102.52,,
BNL12631,75.84,210.68,47.47,,
BNL12631T,75.84,210.68,47.47,,
BNL12632,72.03,159.63,62.65,,
BNL12632T,72.03,159.63,62.65,,
BNL12633,62.8,168.38,59.39,,
BNL12633T,62.8,168.38,59.39,,
BNL12634,62.83,122.78,81.45,,
BNL12634T,62.83,122.78,81.45,,
BNL12635,64.1,137.63,72.66,,
BNL12635T,64.1,137.63,72.66,,
BNL12636,54.81,114.62,87.25,,
BNL12636T,54.81,114.62,87.25,,
BNL12637,73.82,177.85,56.23,,
BNL12637T,73.82,177.85,56.23,,
BNL12638,67.87,134.02,74.62,,
BNL12638T,67.87,134.02,74.62,,
BNL12639,79.02,147.39,67.85,,
BNL12639T,79.02,147.39,67.85,,
BNL12640,67.27,110.8,90.25,,
BNL12640T,67.27,110.8,90.25,,
BNL12641,52.53,127.26,78.58,,
BNL12641T,52.53,127.26,78.58,,
BNL12642,52.95,145.92,68.53,,
BNL12642T,52.95,145.92,68.53,,
BNL12643,66,159.53,62.68,,
BNL12643T,66,159.53,62.68,,
BNL12644,54.39,65.8,151.97,,
BNL12644T,54.39,65.8,151.97,,
BNL12645,57.6,97,103.09,,
BNL12645T,57.6,97,103.09,,
BNL12646,57.33,150.1,66.62,,
BNL12646T,57.33,150.1,66.62,,
BNL12647,68.45,106.3,94.07,,
BNL12647T,68.45,106.3,94.07,,
BNL12648,82.89,217.11,46.06,,
BNL12648T,82.89,217.11,46.06,,
BNL12649,67.33,130.25,76.78,,
BNL12649T,67.33,130.25,76.78,,
BNL12651,73.43,214.99,46.51,,
BNL12651T,73.43,214.99,46.51,,
BNL12747,47.26,89.24,112.05,,
BNL12747T,47.26,89.24,112.05,,
BNL12748,50,100.4,99.6,,
BNL12748T,50,100.4,99.6,,
BNL12749,50.67,-9999,-9999,1,"wrong punch size recorded, LMA unreasonable.  Relative water content correct"
BNL12749T,50.67,-9999,-9999,,
BNL12750,50.71,97.8,102.25,,
BNL12750T,50.71,97.8,102.25,,
BNL12751,51.67,109.96,90.94,,
BNL12751T,51.67,109.96,90.94,,
BNL12752,79.02,191.97,52.09,,
BNL12752T,79.02,191.97,52.09,,
BNL12753,78.52,204.54,48.89,,
BNL12753T,78.52,204.54,48.89,,
BNL12754,52.93,95.18,105.06,,
BNL12754T,52.93,95.18,105.06,,
BNL12755,58.07,147,68.03,,
BNL12755T,58.07,147,68.03,,
BNL12756,49.16,102.83,97.25,,
BNL12756T,49.16,102.83,97.25,,
BNL12757,71.48,192.24,52.02,,
BNL12757T,71.48,192.24,52.02,,
BNL12758,50.24,64.88,154.13,,
BNL12758T,50.24,64.88,154.13,,
BNL12759,53.1,68.7,145.56,,
BNL12759T,53.1,68.7,145.56,,
BNL12760,53.29,71.64,139.59,,
BNL12760T,53.29,71.64,139.59,,
BNL12761,78.15,158.26,63.19,,
BNL12761T,78.15,158.26,63.19,,
BNL12762,78.65,147.38,67.85,,
BNL12762T,78.65,147.38,67.85,,
BNL12763,78.77,152.25,65.68,,
BNL12763T,78.77,152.25,65.68,,
BNL12764,46.01,109.67,91.19,,
BNL12764T,46.01,109.67,91.19,,
BNL12765,49.35,105.86,94.47,,
BNL12765T,49.35,105.86,94.47,,
BNL12766,49.83,115.39,86.66,,
BNL12766T,49.83,115.39,86.66,,
BNL12767,47.29,113.76,87.91,,
BNL12767T,47.29,113.76,87.91,,
BNL12768,44.19,107.37,93.14,,
BNL12768T,44.19,107.37,93.14,,
BNL12650,65.06,104.04,96.12,,
BNL12650T,65.06,104.04,96.12,,
BNL12652,62.29,119.8,83.47,,
BNL12652T,62.29,119.8,83.47,,
BNL12653,57.68,174.29,57.37,,
BNL12653T,57.68,174.29,57.37,,
BNL12654,54.2,156.75,63.79,,
BNL12654T,54.2,156.75,63.79,,
BNL12655,47.94,39.14,255.5,,
BNL12655T,47.94,39.14,255.5,,
BNL12656,46.38,192.42,51.97,,
BNL12656T,46.38,192.42,51.97,,
BNL12657,49.5,113.29,88.27,,
BNL12658,79.17,259.42,38.55,,
BNL12658T,79.17,259.42,38.55,,
BNL12659,61.89,46.6,214.57,,
BNL12659T,61.89,46.6,214.57,,
BNL12660,60.22,101.01,99,,
BNL12660T,60.22,101.01,99,,
BNL12661,59.11,94.14,106.22,,
BNL12661T,59.11,94.14,106.22,,
BNL12662,49.25,106.85,93.59,,
BNL12662T,49.25,106.85,93.59,,
BNL12663,47.93,111.3,89.85,,
BNL12663T,47.93,111.3,89.85,,
BNL12664,58.31,116.89,85.55,,
BNL12664T,58.31,116.89,85.55,,
BNL12665,59.91,149.12,67.06,,
BNL12665T,59.91,149.12,67.06,,
BNL12666,68.67,151,66.23,,
BNL12666T,68.67,151,66.23,,
BNL12667,59.33,148.12,67.51,,
BNL12667T,59.33,148.12,67.51,,
BNL12668,56.38,134.55,74.32,,
BNL12668T,56.38,134.55,74.32,,
BNL12669,66.5,137.35,72.81,,
BNL12669T,66.5,137.35,72.81,,
BNL12670,64.29,136.95,73.02,,
BNL12670T,64.29,136.95,73.02,,
BNL12671,62.37,168.61,59.31,,
BNL12671T,62.37,168.61,59.31,,
BNL12672,56.55,137.76,72.59,,
BNL12672T,56.55,137.76,72.59,,
BNL12673,54.29,99.79,100.21,,
BNL12673T,54.29,99.79,100.21,,
BNL12674,76.64,126.46,79.08,,
BNL12674T,76.64,126.46,79.08,,
BNL12675,56.27,112.33,89.02,,
BNL12675T,56.27,112.33,89.02,,
BNL12676,50.15,113.56,88.06,,
BNL12676T,50.15,113.56,88.06,,
BNL12677,51.03,126.05,79.33,,
BNL12677T,51.03,126.05,79.33,,
BNL12678,78.28,157.52,63.49,,
BNL12678T,78.28,157.52,63.49,,
BNL12679,53.17,70.83,141.18,,
BNL12679T,53.17,70.83,141.18,,
BNL12680,76.01,227.64,43.93,,
BNL12680T,76.01,227.64,43.93,,
BNL12681,73.18,203.63,49.11,,
BNL12681T,73.18,203.63,49.11,,
BNL12682,55.72,113.46,88.14,,
BNL12682T,55.72,113.46,88.14,,
BNL12683,50.69,117.76,84.92,,
BNL12683T,50.69,117.76,84.92,,
BNL12684,53.95,107.03,93.43,,
BNL12684T,53.95,107.03,93.43,,
BNL12687,50.46,62.73,159.41,,
BNL12687T,50.46,62.73,159.41,,
BNL12688,73.69,153.97,64.95,,
BNL12688T,73.69,153.97,64.95,,
BNL12689,45.82,59.08,169.27,,
BNL12689T,45.82,59.08,169.27,,
BNL12690,51.84,59.97,166.76,,
BNL12690T,51.84,59.97,166.76,,
BNL12691,50.12,64.76,154.4,,
BNL12691T,50.12,64.76,154.4,,
BNL12692,48.81,62.73,159.41,,
BNL12692T,48.81,62.73,159.41,,
BNL12718,49,85.51,116.95,,
BNL12718T,49,85.51,116.95,,
BNL12769,51.22,92.51,108.1,,
BNL12769T,51.22,92.51,108.1,,
BNL12770,49.83,76.28,131.1,,
BNL12770T,49.83,76.28,131.1,,
BNL12771,48.82,73.11,136.78,,
BNL12771T,48.82,73.11,136.78,,
BNL12772,51.83,85.73,116.64,,
BNL12772T,51.83,85.73,116.64,,
BNL12773,60.03,124.14,80.55,,
BNL12773T,60.03,124.14,80.55,,
BNL12774,60.34,115.22,86.79,,
BNL12774T,60.34,115.22,86.79,,
BNL12775,58.6,121.25,82.48,,
BNL12775T,58.6,121.25,82.48,,
BNL12776,59.42,101.11,98.9,,
BNL12776T,59.42,101.11,98.9,,
BNL12777,59.71,98.63,101.39,,
BNL12777T,59.71,98.63,101.39,,
BNL12778,62.05,98.81,101.21,,
BNL12778T,62.05,98.81,101.21,,
BNL12779,62.34,111.14,89.97,,
BNL12779T,62.34,111.14,89.97,,
BNL12781,60.42,90.32,110.72,,
BNL12781T,60.42,90.32,110.72,,
BNL12782,50.45,73.33,136.38,,
BNL12782T,50.45,73.33,136.38,,
BNL12783,52.26,78.98,126.62,,
BNL12783T,52.26,78.98,126.62,,
BNL12784,73.15,137.8,72.57,,
BNL12784T,73.15,137.8,72.57,,
BNL12785,71.73,135.93,73.57,,
BNL12785T,71.73,135.93,73.57,,
BNL12786,69.53,148.47,67.35,,
BNL12786T,69.53,148.47,67.35,,
BNL12787,57.94,72.46,138,,
BNL12787T,57.94,72.46,138,,
BNL12788,60.58,90.57,110.41,,
BNL12788T,60.58,90.57,110.41,,
BNL12789,59.37,72.97,137.04,,
BNL12789T,59.37,72.97,137.04,,
BNL12901,61.4,111.31,89.84,,
BNL12901T,61.4,111.31,89.84,,
BNL12902,78.1,102.32,97.73,,
BNL12902T,78.1,102.32,97.73,,
BNL12903,56.19,85.46,117.02,,
BNL12903T,56.19,85.46,117.02,,
BNL12904,53.31,137.57,72.69,,
BNL12904T,53.31,137.57,72.69,,
BNL12905,75.37,136.7,73.15,,
BNL12905T,75.37,136.7,73.15,,
BNL12906,78.01,194.05,51.53,,
BNL12906T,78.01,194.05,51.53,,
BNL12907,57.36,89.72,111.46,,
BNL12907T,57.36,89.72,111.46,,
BNL12908,57.83,76.19,131.24,,
BNL12908T,57.83,76.19,131.24,,
BNL12909,75.8,103.53,96.59,,
BNL12909T,75.8,103.53,96.59,,
BNL12910,68.09,200.59,49.85,,
BNL12910T,68.09,200.59,49.85,,
BNL12915,73.36,249.54,40.07,,
BNL12915T,73.36,249.54,40.07,,
BNL12916,61.04,179,55.87,,
BNL12916T,61.04,179,55.87,,
BNL12920,80.82,170.06,58.8,,"High water content, real?"
BNL12920T,80.82,170.06,58.8,,"High water content, real?"
BNL12921,59.76,119.22,83.88,,
BNL12921T,59.76,119.22,83.88,,
BNL12922,63.32,141.27,70.79,,
BNL12922T,63.32,141.27,70.79,,
BNL12923,83.36,283.93,35.22,,"High water content, real?"
BNL12923T,83.36,283.93,35.22,,"High water content, real?"
BNL12924,58.37,113.34,88.23,,
BNL12924T,58.37,113.34,88.23,,
BNL12925,65.52,213.76,46.78,,
BNL12925T,65.52,213.76,46.78,,
BNL12698,58.29,99.46,100.55,,
BNL12698T,58.29,99.46,100.55,,
BNL12699,84.63,296.47,33.73,,"High water content, real?"
BNL12699T,84.63,296.47,33.73,,"High water content, real?"
BNL12700,81.98,247.9,40.34,,"High water content, real?"
BNL12700T,81.98,247.9,40.34,,"High water content, real?"
BNL12911,64.05,174.74,57.23,,
BNL12911T,64.05,174.74,57.23,,
BNL12912,59.15,152.53,65.56,,
BNL12912T,59.15,152.53,65.56,,
BNL12913,66.02,155.54,64.29,,
BNL12913T,66.02,155.54,64.29,,
BNL12914,61.57,124.01,80.64,,
BNL12914T,61.57,124.01,80.64,,
BNL12917,74.12,149.44,66.92,,
BNL12917T,74.12,149.44,66.92,,
BNL12919,56.65,90.73,110.22,,
BNL12919T,56.65,90.73,110.22,,
BNL12926,63.72,195.9,51.05,,
BNL12926T,63.72,195.9,51.05,,
